;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_26;1.07;0.74;1.52;0.73;1.83;1.25;1.29;0.41;0.94;2;2;2;2;2;1;2;1;1;;59.761;149.231;368.127;49.912;126.014;28.004;141.374;27.857;381.17;2.514
Model_27;0.76;0.94;0.86;0.66;1.00;1.69;1.86;0.89;0.74;1;1;1;2;2;1;2;2;2;;73.606;183.393;724.238;57.751;249.676;19.396;168.707;17.407;482.686;2.788
Model_28;0.50;0.62;0.98;0.85;1.11;1.55;1.18;0.52;0.73;2;1;1;2;1;2;1;2;1;;94.99;196.513;520.716;59.09;216.143;17.777;190.209;24.901;479.481;2.158
Model_29;1.16;1.03;0.96;0.63;1.91;1.55;1.72;1.06;0.68;1;2;2;1;1;1;1;2;1;;55.465;195.451;724.887;65.333;110.346;22.15;168.571;16.686;489.832;2.959
Model_30;1.14;1.02;1.43;0.95;1.63;1.44;1.84;0.51;1.03;2;1;2;1;2;1;2;2;1;;57.648;150.085;413.488;49.21;163.241;24.848;139.472;25;378.989;2.885
Model_31;1.10;1.04;1.53;1.08;1.42;1.24;1.21;1.14;0.93;1;1;1;2;1;1;2;1;2;;54.656;202.017;413.534;56.527;220.864;25.543;150.355;17.197;455.513;3.032
Model_32;0.61;0.95;1.60;0.81;1.76;0.97;1.17;0.53;0.91;1;1;2;1;2;1;1;2;2;;91.909;175.887;373.613;50.795;144.972;31.09;139.974;26.517;407.8;3.123
Model_33;0.52;0.80;0.89;1.06;1.44;1.56;1.16;0.86;0.96;1;2;2;1;2;1;1;2;2;;92.348;208.332;622.388;50.799;138.823;19.728;147.475;19.841;522.152;2.45
Model_34;1.17;0.77;1.36;0.99;1.50;0.83;1.32;0.75;0.60;1;2;1;2;2;2;2;1;2;;48.102;188.514;472.461;72.48;174.705;26.361;194.363;21.197;539.784;2.529
Model_35;1.13;0.61;1.47;0.75;1.24;1.36;1.62;0.94;0.85;1;2;1;2;1;1;2;1;1;;47.387;143.131;366.758;54.905;218.757;24.671;155.541;16.469;353.901;2.129
Model_36;1.18;0.65;1.59;1.26;1.41;0.86;1.59;0.46;0.81;1;1;2;1;2;2;1;2;2;;48.068;140.572;367.14;56.631;195.191;22.609;162.193;27.665;361.802;2.214
Model_37;0.98;0.60;1.09;0.90;1.53;1.16;1.65;0.95;0.52;2;2;2;2;2;2;2;1;1;;55.2;140.447;544.019;78.882;141.082;19.754;158.196;16.23;553.133;2.054
Model_38;1.07;0.60;1.07;1.20;1.31;1.09;1.11;0.74;0.72;1;2;2;2;1;1;2;2;2;;47.968;199.884;518.121;60.983;195.384;20.868;198.88;21.122;497.041;2.115
Model_39;0.47;0.79;0.81;0.62;1.02;1.17;1.79;0.95;0.88;2;1;1;2;2;1;2;2;2;;102.842;176.465;613.288;48.169;195.109;28.085;158.976;15.759;450.599;2.36
Model_40;1.11;0.85;0.93;0.52;1.91;0.97;1.01;0.85;0.73;1;1;2;2;2;2;1;1;1;;51.148;248.678;742.038;59.223;103.335;36.03;171.881;18.695;553.041;2.682
Model_41;0.76;0.87;0.83;0.71;1.49;0.88;1.73;0.63;0.86;2;1;1;1;1;2;2;2;1;;74.53;183.893;669.201;54.241;124.115;30.966;162.513;21.337;470.089;2.575
Model_42;1.17;0.68;1.07;1.05;1.88;1.69;1.17;1.01;0.46;2;1;1;1;2;2;1;1;2;;48.153;219.117;638.449;81.491;114.736;16.591;218.253;17.233;761.062;2.333
Model_43;0.98;1.00;1.57;0.64;1.67;1.34;1.49;0.85;0.47;1;1;1;2;2;2;1;2;1;;67.634;167.86;456.301;77.219;151.14;22.946;148.645;21.165;647.34;3.046
Model_44;1.06;0.67;1.01;0.76;1.51;1.70;1.50;1.18;1.03;2;1;1;1;1;1;1;1;1;;53.171;164.094;498.566;45.927;137.045;22.012;135.821;13.614;423.917;2.074
Model_45;0.70;0.99;1.38;0.82;1.37;1.40;1.04;0.60;0.66;2;2;2;1;2;2;2;1;2;;80.069;242.974;474.561;64.389;212.115;21.818;174.817;24.09;522.819;3.175
Model_46;0.63;0.97;1.47;1.29;1.57;1.48;1.60;0.99;0.74;1;1;2;2;1;2;1;2;1;;95.16;175.754;448.267;62.119;172.946;17.999;168.795;19.86;427.706;3.004
Model_47;1.13;0.99;1.34;0.97;1.23;1.44;1.81;0.58;0.68;2;2;1;2;1;2;1;2;1;;51.843;167.607;480.451;66.711;246.001;19.75;162.55;23.639;456.704;2.884
Model_48;0.81;1.06;0.80;1.19;1.49;1.29;1.19;1.16;0.71;2;1;2;2;2;2;2;2;2;;67.52;294.908;893.908;67.217;153.248;20.701;191.126;16.416;635.217;3.121
Model_49;1.15;0.99;1.22;1.12;1.31;1.38;1.69;0.78;0.69;1;1;2;2;2;1;1;1;1;;50.641;185.068;540.221;67.344;227.575;19.591;171.752;21.245;473.754;2.916
Model_50;0.97;0.76;1.21;1.15;1.30;1.02;1.07;0.86;0.73;2;2;1;1;2;1;2;1;1;;55.84;220.189;494.98;63.008;218.142;23.2;193.102;19.747;496.768;2.538
Model_51;0.67;0.56;1.11;0.71;1.21;0.93;1.15;0.81;0.79;1;1;2;2;1;1;1;1;2;;75.144;173.546;441.297;55.197;196.177;28.972;169.174;18.105;440.507;2.145
Model_52;0.80;0.75;1.35;1.27;1.24;1.03;1.81;0.42;0.56;2;2;2;1;1;2;2;1;1;;72.516;135.706;457.952;65.546;219.111;18.517;151.524;27.235;514.35;2.399
Model_53;0.95;0.55;1.19;1.23;1.33;1.07;1.44;0.86;0.73;2;1;2;2;1;1;1;2;2;;55.709;158.702;465.35;58.877;186.505;20.755;177.989;18.34;411.657;2.016
Model_54;0.86;1.06;1.51;1.25;1.51;1.65;1.60;0.52;1.04;2;2;1;2;2;2;2;2;2;;69.567;169.451;398.76;51.182;191.772;19.828;142.54;26.204;408.187;2.991
Model_55;0.46;0.74;1.07;0.68;1.01;0.81;1.34;0.58;0.49;2;1;1;2;1;1;1;2;2;;115.754;196.198;534.218;73.394;265.904;28.016;191.782;22.67;634.034;2.546
Model_56;0.44;0.93;0.91;0.78;1.70;1.57;1.61;1.13;0.91;2;2;2;1;1;2;2;2;1;;118.429;192;657.55;51.416;109.583;23.004;157.329;16.264;470.495;2.836
Model_57;0.90;0.66;0.96;1.18;1.16;1.15;1.39;0.95;1.03;1;2;2;1;2;2;2;1;2;;58.205;179.714;488.222;47.831;195.132;21.519;142.013;16.99;459.413;2.013
Model_58;1.12;0.90;1.36;0.67;1.47;1.13;1.57;1.02;1.02;1;1;1;2;2;2;2;1;2;;54.695;159.487;404.267;46.517;179.209;31.151;140.369;16.96;400.333;2.702
Model_59;1.00;0.61;1.25;1.08;1.54;1.02;1.56;0.93;0.80;2;2;2;2;2;2;1;1;1;;56.275;149.818;445.859;59.69;152.404;24.309;161.228;17.396;383.291;2.132
Model_60;0.82;0.62;1.60;1.26;1.65;1.24;1.55;0.81;0.83;1;2;2;2;2;1;1;2;2;;72.779;136.126;361.862;55.489;147.173;20.585;155.064;20.717;351.034;2.278
Model_61;0.97;1.02;1.12;0.82;1.64;1.14;1.47;0.76;0.63;1;2;1;2;2;1;1;2;1;;63.794;212.855;593.462;69.601;153.799;25.752;172.651;21.436;540.755;2.948
Model_62;1.16;0.90;1.17;0.88;1.04;1.47;1.87;0.71;0.42;2;1;1;2;2;1;1;1;1;;49.49;135.232;578.422;83.799;305.704;18.605;145.269;21.999;747.344;2.693
Model_63;0.86;0.80;1.68;0.93;1.20;1.68;1.32;0.62;0.76;1;2;2;2;2;2;2;2;2;;64.4;178.75;356.016;60.217;266.516;17.728;184.464;23.674;405.624;2.601
Model_64;1.01;0.71;1.08;1.11;1.41;1.59;1.44;0.54;0.74;1;1;2;2;2;1;1;2;1;;55.089;180.236;526.983;62.12;175.392;16.854;182.663;25.115;449.413;2.237
Model_65;1.08;0.59;1.18;0.96;1.49;1.40;1.33;1.17;0.88;2;1;2;1;1;1;2;2;2;;51.223;161.348;444.303;55.492;158.487;22.535;156.812;13.954;420.606;2.09
Model_66;0.79;1.02;1.50;0.52;1.87;1.23;1.02;0.86;0.91;1;1;2;2;2;1;2;2;2;;69.718;190.878;403.36;55.631;132.094;33.271;127.083;20.395;431.384;3.277
Model_67;1.10;1.01;1.17;0.77;1.60;1.60;1.10;0.42;1.05;1;2;2;1;2;1;1;2;1;;55.581;195.567;479.371;48.356;156.452;24.355;126.873;25.317;474.545;2.867
Model_68;1.18;1.06;1.56;0.82;1.15;1.26;1.53;0.99;1.00;1;1;1;1;2;2;1;2;2;;50.758;184.47;386.025;50.423;293.726;28.312;154.168;18.209;428.361;2.95
Model_69;0.67;0.76;0.92;0.52;1.22;1.59;1.87;0.74;0.47;2;2;2;1;2;1;2;2;2;;93.018;136.726;625.818;72.511;191.878;21.844;140.557;19.001;604.697;2.408
Model_70;0.78;0.70;0.93;0.59;1.79;0.86;1.40;1.05;0.69;1;2;2;2;1;1;2;2;2;;72.31;189.302;661.918;60.525;103.314;34.342;182.419;14.97;466.706;2.336
Model_71;0.78;0.80;1.52;0.78;1.38;0.83;1.72;1.04;0.94;1;2;1;2;2;2;1;2;1;;71.159;145.105;364.832;49.977;197.572;30.931;145.935;16.508;357.008;2.535
Model_72;0.46;0.93;0.96;0.87;1.05;1.43;1.06;0.88;0.80;2;1;1;1;2;2;2;1;2;;100.076;252.334;627.004;55.94;257.043;22.056;167.339;19.486;557.603;2.9
Model_73;0.82;0.89;1.29;0.70;1.08;1.33;1.29;0.74;0.55;1;1;1;1;2;2;2;1;1;;69.416;217.48;490.896;70.813;281.94;20.739;194.812;20.755;601.228;2.76
Model_74;1.15;0.70;1.69;0.60;1.11;1.27;1.64;0.85;0.65;1;2;2;2;1;1;2;1;2;;46.37;142.932;336.493;63.386;278.555;25.071;167.454;17.5;418.244;2.348
Model_75;0.87;0.75;1.00;1.19;1.17;1.40;1.61;0.81;1.00;2;2;2;2;2;1;1;1;1;;61.292;175.196;513.023;50.009;204.212;20.244;150.299;19.741;442.046;2.212
Model_76;1.07;0.63;1.23;0.67;1.64;1.30;1.45;0.77;0.72;1;2;2;2;2;1;2;2;2;;52.495;153.978;452.59;61.764;133.465;25.138;169.785;19.558;405.243;2.233
Model_77;0.92;0.68;1.69;1.15;1.60;0.85;1.23;0.76;0.66;2;2;2;2;2;2;1;1;2;;62.92;164.991;372.932;65.155;157.946;24.107;188.425;21.555;453.136;2.458
Model_78;1.14;0.76;0.83;1.22;1.87;1.42;1.63;1.11;0.56;2;2;1;1;1;2;1;2;1;;52.324;196.558;864.939;73.91;102.738;15.576;190.818;15.22;609.009;2.461
Model_79;0.83;0.54;0.89;0.89;1.01;1.50;1.36;0.51;0.90;2;2;1;2;1;2;1;1;2;;57.711;180.936;504.168;49.949;215.032;19.726;155.863;23.796;454.927;1.729
Model_80;1.07;0.88;0.90;1.15;1.73;1.14;1.23;0.62;0.59;2;2;2;2;1;1;1;1;1;;52.968;262.273;804.153;73.169;129.074;20.119;202.538;23.681;636.37;2.766
Model_81;0.93;0.74;0.83;0.70;1.46;1.01;1.58;1.05;0.66;2;2;1;1;1;1;2;1;2;;59.669;191.789;721.468;64.848;138.275;28.846;183.293;14.616;492.137;2.313
Model_82;0.60;0.97;1.58;0.56;1.11;1.25;1.24;0.49;0.78;2;1;2;1;2;2;1;1;1;;94.255;204.701;372.325;50.546;295.187;29.216;174.321;24.448;428.683;3.066
Model_83;0.55;0.94;1.08;0.90;1.21;1.27;1.84;0.54;0.77;1;2;2;2;1;1;1;1;1;;104.346;168.863;563.08;57.933;214.319;23.313;159.559;24.432;424.574;2.866
Model_84;0.42;0.58;1.41;1.12;1.21;1.41;1.20;0.91;0.56;1;1;1;1;1;1;2;1;2;;122.168;172.182;414.13;64.926;211.275;14.466;210.097;18.149;535.299;2.496
Model_85;0.85;0.82;0.88;1.29;1.76;1.05;1.36;0.97;1.06;1;2;1;2;1;1;2;2;2;;65.122;195.554;641.347;49.868;98.919;21.312;145.023;17.881;504.608;2.378
Model_86;0.87;0.67;1.01;0.99;1.46;1.49;1.42;0.99;0.96;1;1;1;1;2;1;1;1;1;;63.735;171.555;511.825;51.241;147.977;21.535;147.147;16.529;442.051;2.106
Model_87;0.72;0.66;1.32;1.10;1.49;1.26;1.38;0.68;1.00;1;2;2;1;2;1;2;1;2;;79.469;151.544;390.418;49.033;160.322;22.212;137.263;23.201;393.03;2.254
Model_88;0.82;0.88;1.48;0.84;1.03;1.69;1.02;0.75;0.50;1;1;2;2;2;1;2;2;1;;65.71;252.938;459.832;76.373;324.452;18.683;208.279;21.623;669.938;2.828
Model_89;0.88;0.57;1.10;0.72;1.70;1.21;1.62;1.13;0.95;1;1;2;1;2;1;1;2;1;;64.681;145.016;460.915;48.541;114.543;27.738;134.663;13.66;370.311;1.965
Model_90;0.44;1.02;1.35;0.90;1.17;1.09;1.78;1.13;0.50;1;1;1;1;1;1;2;1;1;;136.884;155.919;494.492;74.852;253.751;21.671;147.706;17.697;626.669;3.198
Model_91;1.12;0.83;1.51;0.54;1.65;1.20;1.36;1.15;0.96;2;1;2;2;2;1;2;2;1;;55.981;157.801;376.682;50.629;153.794;32.414;142.73;15.409;390.083;2.688
Model_92;1.01;0.60;1.08;0.63;1.73;1.50;1.42;0.77;0.48;2;2;1;1;2;2;1;1;2;;55.245;157.901;549.398;82.322;111.978;20.555;175.945;19.232;618.277;2.201
Model_93;1.08;0.85;1.02;0.69;1.27;0.84;1.44;1.16;0.93;1;2;2;2;1;1;1;2;1;;50.591;192.28;542.803;52.033;194.759;31.664;156.01;14.414;468.752;2.547
Model_94;0.55;0.75;1.48;1.16;1.41;1.01;1.61;0.62;0.69;1;1;1;1;1;1;2;2;2;;104.193;148.87;400.501;61.382;182.973;22.166;168.387;24.612;418.536;2.55
Model_95;0.98;1.03;1.59;0.92;1.65;0.90;1.50;0.96;0.78;1;1;2;2;1;1;1;1;2;;61.278;180.351;413.281;61.338;168.24;30.492;162.512;19.151;406.461;3.031
Model_96;0.76;0.66;0.83;0.94;1.28;0.93;1.30;0.42;0.93;1;2;2;2;2;2;2;2;1;;65.511;192.502;601.139;50.437;149.157;24.541;154.367;26.443;490.088;2.011
Model_97;1.11;0.59;1.47;0.95;1.89;0.92;1.43;0.90;0.85;2;1;1;2;1;2;2;2;2;;53.136;137.27;382.339;58.012;112.545;27.444;151.86;18.55;363.811;2.239
Model_98;0.60;0.99;1.23;1.25;1.84;0.92;1.83;1.07;0.64;1;2;2;1;1;2;2;2;1;;106.042;161.464;551.097;67.317;126.198;23.328;156.514;18.63;493.553;2.996
Model_99;0.74;0.84;1.08;0.81;1.68;1.21;1.60;1.14;0.74;2;2;1;2;2;2;2;1;1;;79.091;177.02;545.931;61.888;131.668;26.362;169;15.341;434.191;2.651
Model_100;0.59;0.85;0.82;0.88;1.08;1.04;1.86;0.54;0.91;1;1;1;1;1;2;1;2;1;;87.188;176.521;626.527;50.534;187.758;25.834;157.283;23.385;454.551;2.48
Model_101;0.62;0.57;1.25;1.10;1.67;1.54;1.82;1.11;0.48;2;1;2;1;1;1;1;1;2;;95.457;111.176;482.588;72.54;118.123;15.051;131.444;14.401;556.104;2.149
Model_102;1.03;0.68;1.33;0.84;1.31;1.41;1.35;1.17;1.01;1;1;2;2;1;2;2;2;1;;56.044;158.596;390.747;48.759;199.025;24.659;140.296;14.512;404.693;2.246
Model_103;0.87;1.05;1.20;1.05;1.02;0.87;1.73;0.43;0.73;1;2;2;2;1;2;2;1;1;;67.708;193.015;556.498;63.233;305.35;25.657;173.61;24.794;457.388;2.99
Model_104;0.98;0.63;1.05;0.57;1.12;1.61;1.48;0.93;0.42;2;2;1;2;1;1;1;1;2;;52.201;157.004;559.866;85.03;228.957;22.187;167.707;16.072;696.549;2.16
Model_105;0.52;0.93;1.62;0.88;1.08;0.94;1.40;0.73;0.57;2;1;2;1;2;1;1;1;2;;111.987;192.023;390.851;69.161;307.667;25.968;182.584;22.112;543.709;3.027
Model_106;1.15;0.80;1.14;0.64;1.13;1.37;1.77;0.94;0.56;1;1;2;2;2;1;2;2;2;;46.807;152.71;530.425;71.374;248.361;20.648;159.528;16.81;533.959;2.495
Model_107;0.43;0.99;1.61;0.77;1.50;1.15;1.39;0.51;1.05;1;2;1;1;2;2;2;2;2;;124.034;162.945;346.627;44.173;186.482;28.987;132.435;27.252;389.092;3.177
Model_108;0.96;0.56;1.23;0.86;1.68;0.90;1.87;0.49;0.99;1;2;1;1;1;1;2;2;1;;59.637;128.994;397.388;47.568;119.946;26.854;123.26;25.913;323.985;1.905
Model_109;0.88;0.68;0.96;0.86;1.19;1.44;1.66;0.83;0.51;2;1;2;2;2;1;1;2;2;;61.48;157.911;609.559;77.451;209.537;16.076;166.003;18.147;590.591;2.146
Model_110;0.95;0.99;1.52;0.91;1.35;1.42;1.62;0.90;0.92;1;1;2;1;2;1;1;1;2;;61.538;169.477;397.718;52.862;224.74;24.614;156.192;19.559;402.713;2.918
Model_111;0.99;0.62;1.15;1.16;1.37;1.05;1.53;0.83;0.98;1;1;1;1;1;1;2;2;1;;56.421;156.291;433.042;50.276;173.783;22.64;144.179;19.323;400.624;2.019
Model_112;0.66;0.61;1.57;0.88;1.09;1.58;1.42;1.11;1.06;2;1;2;2;2;1;2;2;1;;81.628;149.983;323.372;45.202;265.399;21.062;135.896;14.901;367.052;2.105
Model_113;1.11;0.71;0.89;1.28;1.21;1.36;1.25;1.17;0.61;1;2;1;2;2;2;2;2;2;;44.489;240.155;703.072;66.732;218.548;16.352;225.3;14.595;601.004;2.285
Model_114;0.46;0.70;0.93;0.57;1.41;1.48;1.16;0.63;0.80;1;2;2;1;1;2;1;2;2;;105.344;199.972;588.233;49.146;143.985;23.312;166.403;22.136;487.4;2.369
Model_115;1.03;0.99;1.15;0.96;1.53;1.44;1.37;0.86;0.86;2;2;2;2;2;2;2;1;1;;56.576;207.851;535.031;57.771;173.176;23.315;161.717;19.995;475.221;2.907
Model_116;0.82;1.05;1.25;0.62;1.87;1.54;1.43;0.49;0.46;2;1;1;2;1;2;1;1;2;;83.97;194.634;577.289;77.423;125.904;23.449;161.987;26.16;723.679;3.13
Model_117;0.70;0.66;0.84;0.54;1.33;1.40;1.05;0.78;0.55;2;1;2;2;2;1;1;2;1;;72.355;246.424;730.348;68.9;163.088;20.291;222.742;18.498;627.088;2.346
Model_118;1.09;0.62;1.44;1.14;1.46;1.01;1.79;1.03;0.55;1;1;1;1;1;1;2;2;2;;49.396;120.381;426.176;71.037;166.001;20.518;144.519;15.814;499.237;2.106
Model_119;0.75;0.67;1.27;1.08;1.83;0.97;1.27;0.53;0.80;2;1;2;1;2;2;2;1;1;;77.792;163.907;444.727;58.72;116.717;24.723;168.012;26.552;415.343;2.381
Model_120;1.08;0.82;1.52;0.75;1.53;1.43;1.22;0.59;0.49;1;2;2;1;1;1;1;1;2;;53.678;194.668;448.648;77.169;167.153;19.842;184.895;24.097;627.502;2.69
Model_121;1.07;0.95;0.96;0.61;1.76;1.14;1.05;0.73;0.67;1;1;1;2;1;2;1;1;1;;51.971;267.616;726.044;65.838;126.52;30.194;177.556;20.949;556.961;2.896
Model_122;0.94;1.00;0.93;0.56;1.09;1.26;1.27;0.68;1.04;2;1;1;1;1;2;1;2;1;;55.138;211.093;565.891;46.763;215.678;29.037;139.595;20.768;511.594;2.738
Model_123;0.76;0.58;1.01;0.55;1.72;1.49;1.23;0.66;0.74;1;1;2;2;1;1;1;1;1;;72.403;172.784;555.037;56.204;108.877;22.757;173.618;21.134;439.459;2.177
Model_124;1.00;0.68;1.62;1.03;1.54;0.90;1.61;0.49;1.06;1;2;2;2;1;1;2;2;2;;62.252;132.636;331.822;47.383;169.285;24.756;129.553;27.185;342.768;2.267
Model_125;0.50;0.96;0.82;0.85;1.67;0.93;1.79;0.98;1.04;1;1;2;1;1;1;1;2;1;;105.047;182.823;658.133;49.628;93.862;27.66;146.401;17.639;467.447;2.718
Model_126;0.68;0.93;1.70;0.77;1.62;1.10;1.36;1.04;0.48;1;2;2;2;2;2;2;2;2;;90.756;174.579;412.443;76.583;152.84;23.011;157.571;18.554;610.552;3.075
Model_127;1.10;1.01;1.10;1.03;1.74;1.08;1.66;0.80;0.89;2;1;1;1;2;2;1;1;1;;55.763;184.424;559.623;56.964;136.073;26.807;156.804;20.686;452.242;2.892
Model_128;0.69;1.03;0.96;0.76;1.06;1.43;1.28;0.90;0.93;2;2;2;1;2;2;2;2;1;;73.763;230.7;620.18;52.602;246.848;25.097;154.047;18.731;525.763;2.912
Model_129;0.51;0.92;1.58;0.91;1.84;1.48;1.76;1.05;1.01;2;2;1;2;2;2;2;2;2;;117.842;140.382;365.377;48.648;131.131;24.283;135.609;18.808;352.117;2.93
Model_130;0.78;0.71;1.55;0.65;1.60;0.89;1.86;0.68;1.04;2;2;1;2;2;2;1;1;1;;76.361;124.075;335.522;42.513;148.763;31.467;123.342;21.825;314.529;2.366
Model_131;0.92;1.03;1.69;1.14;1.90;1.21;1.31;0.52;0.83;1;1;1;1;1;2;1;1;1;;66.267;185.714;394.444;59.679;138.11;24.621;156.197;26.263;408.252;3.056
Model_132;0.54;0.73;1.62;0.69;1.21;1.34;1.86;1.00;0.94;2;1;1;2;2;2;2;2;1;;99.671;133.288;326.506;47.02;234.969;26.343;141.003;16.579;325.779;2.451
Model_133;0.48;0.70;1.67;1.23;1.85;0.83;1.00;0.59;0.82;2;2;1;1;2;2;1;2;2;;125.478;163.618;356.899;55.403;125.364;23.592;153.987;27.505;405.737;2.727
Model_134;0.58;0.91;0.98;0.68;1.38;0.93;1.02;1.04;0.76;1;2;2;1;2;2;1;2;2;;84.998;249.4;617.765;58.362;177.564;32.926;161.932;16.763;540.623;2.869
Model_135;0.61;1.02;0.80;0.56;1.34;1.63;1.69;0.94;0.86;2;2;1;1;2;2;2;2;1;;91.114;207.289;717.614;50.833;146.092;23.26;165.823;17.141;507.381;2.905
Model_136;0.58;0.65;1.36;1.13;1.90;1.02;1.32;0.88;0.64;2;2;2;2;1;1;2;1;1;;102.75;163.12;447.898;65.912;106.942;22.049;186.322;19.669;474.387;2.423
