;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_1;1.04;0.99;1.67;1.01;1.06;1.02;1.19;0.93;1.03;1;1;2;2;1;2;2;2;1;;54.966;197.021;353.88;50.916;335.398;26.663;149.122;19.472;451.404;2.874
Model_2;1.04;0.79;1.21;0.91;1.63;1.38;1.55;0.94;0.58;1;1;1;1;1;2;2;2;2;;55.474;168.146;527.458;73.747;145.82;18.94;174.904;18.078;544.685;2.498
Model_3;0.83;0.57;0.83;0.75;1.49;1.05;1.83;1.01;0.79;2;1;1;1;1;2;1;1;2;;63.064;158.547;626.314;57.163;115.825;28.007;150.107;13.72;408.91;1.853
Model_4;0.54;0.57;1.16;0.65;1.62;1.11;1.41;0.84;0.93;2;1;1;2;2;1;1;2;2;;99.316;146.156;418.114;46.48;120.696;28.602;135.786;18.378;378.193;2.165
Model_5;0.63;0.73;1.70;0.82;1.69;1.59;1.03;0.65;0.67;1;2;1;2;2;1;1;1;1;;84.546;181.387;364.304;64.424;140.929;18.067;181.748;23.852;444.486;2.734
Model_6;0.70;0.58;1.14;1.13;1.15;1.69;1.76;0.52;0.71;2;2;2;1;2;2;1;1;1;;72.775;144.73;469.792;58.957;215.358;14.306;157.668;24.648;383.871;1.954
Model_7;1.04;0.60;1.57;0.57;1.04;1.56;1.36;0.83;1.05;2;2;2;1;2;1;1;1;2;;51.896;152.254;316.016;42.995;279.637;23.555;133.65;18.155;373.257;2.004
Model_8;0.49;0.73;1.31;0.74;1.70;1.12;1.89;0.95;1.02;2;1;2;1;1;1;2;2;1;;118.746;129.714;390.334;44.47;121.189;28.687;126.621;18.091;332.301;2.449
Model_9;0.66;0.76;1.59;0.57;1.73;1.34;1.43;1.19;0.70;2;1;2;1;2;1;1;1;1;;85.716;153.167;374.154;57.981;131.722;26.333;166.725;14.819;405.353;2.746
Model_10;1.09;1.01;1.05;0.51;1.28;1.12;1.73;0.57;0.52;1;1;2;2;1;2;2;1;1;;59.563;172.64;622.582;72.808;216.027;26.883;157.913;22.541;617.592;2.87
Model_11;1.05;0.77;1.35;0.60;1.06;0.94;1.71;1.11;0.75;1;1;1;2;1;1;1;2;1;;50.488;158.523;415.687;56.234;275.43;33.299;167.793;14.294;388.548;2.399
Model_12;0.42;0.87;1.43;0.62;1.58;1.08;1.40;0.55;0.87;2;1;2;1;1;2;1;2;2;;125.151;164.544;388.883;46.929;151.348;31.723;151.748;25.782;390.627;3.022
Model_13;1.18;1.04;1.03;1.24;1.17;0.90;1.69;0.85;1.03;1;2;1;2;2;1;2;1;1;;48.523;194.211;577.356;51.972;227.085;22.486;153.983;19.965;476.902;2.79
Model_14;0.82;0.81;1.31;0.85;1.86;1.41;1.79;0.46;1.05;1;2;1;1;2;2;1;2;1;;74.687;137.566;402.094;45.95;114.929;25.105;128.516;26.967;358.029;2.488
Model_15;1.17;0.81;1.12;0.94;1.05;1.44;1.34;0.74;0.71;1;1;2;1;1;1;2;2;2;;44.677;212.598;539.272;64.104;284.462;19.84;199.795;20.867;491.931;2.539
Model_16;0.86;0.85;1.61;0.60;1.06;1.11;1.32;0.67;0.47;2;1;2;2;1;1;2;1;1;;68.325;184.044;398.058;74.768;300.064;23.492;178.526;21.487;622.9;2.734
Model_17;0.84;0.88;1.18;0.78;1.85;0.92;1.23;0.47;1.04;2;1;2;2;1;1;2;2;1;;71.188;172.115;477.829;48.172;116.62;29.765;128.986;26.396;437.789;2.668
Model_18;1.12;0.98;0.96;0.72;1.45;1.16;1.40;0.97;1.05;2;2;1;2;1;2;2;2;1;;51.515;199.167;563.886;49.555;151.694;29.327;141.709;17.325;490.518;2.718
Model_19;0.86;0.59;0.90;1.09;1.27;0.98;1.49;0.71;0.90;2;1;1;2;1;2;2;2;1;;59.47;174.703;544.423;52.522;163.525;22.874;158.567;20.321;445.086;1.896
Model_20;0.58;0.95;1.45;1.19;1.01;1.48;1.18;1.18;0.81;2;2;1;1;2;2;1;1;2;;88.887;230.26;424.391;58.852;342.492;19.165;184.148;16.678;488.335;2.966
Model_21;0.83;0.61;1.54;0.62;1.60;1.16;1.68;0.48;0.97;2;1;1;2;2;2;2;2;2;;72.597;123.086;331.032;44.182;142.502;29.146;128.551;26.212;317.796;2.184
Model_22;0.49;0.79;1.35;0.72;1.88;1.56;1.23;1.10;0.51;2;2;1;1;2;1;1;1;2;;112.04;194.808;482.803;74.6;114.174;20.189;184.734;17.053;611.559;2.863
Model_23;0.94;0.97;0.80;1.02;1.76;1.03;1.65;0.96;0.48;2;1;1;2;1;2;1;1;1;;73.98;208.248;973.083;83.776;119.167;20.45;186.271;18.659;746.321;2.969
Model_24;0.75;0.77;1.29;0.77;1.33;1.68;1.78;0.76;0.64;1;1;2;2;2;1;2;1;1;;77.422;141.569;454.734;66.356;190.027;16.68;155.033;19.977;440.114;2.465
Model_25;0.53;0.99;0.88;0.65;1.63;1.56;1.48;0.69;0.84;1;1;1;1;2;2;1;1;1;;103.041;213.341;701.985;53.454;119.489;23.532;163.167;21.809;504.533;2.945
