;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_33;0.32;0.49;1.70;0.75;1.18;0.86;1.50;0.49;0.75;2;1;1;1;2;1;2;1;1;;166.333;127.159;290.726;54.343;217.384;27.57;153.537;25.482;322.054;2.362
Model_34;0.37;0.75;1.77;0.44;1.16;0.78;1.73;0.53;0.72;2;2;1;1;2;2;2;2;1;;138.837;133.632;293.116;58.125;246.839;38.689;151.732;23.252;345.162;2.723
Model_35;0.43;0.71;1.29;0.35;1.15;1.00;2.02;0.58;0.64;2;1;1;1;2;1;1;1;2;;126.301;119.697;395.642;64.589;206.323;33.846;126.896;20.714;379.209;2.467
Model_36;0.72;0.60;1.41;0.63;1.24;0.65;1.56;0.33;0.50;1;1;2;1;2;2;1;1;1;;76.221;125.958;389.623;73.984;187.89;32.117;151.568;27.666;509.139;2.221
Model_37;0.68;0.54;1.78;0.45;1.13;1.22;1.73;0.75;0.80;1;2;2;2;1;2;2;1;2;;75.901;124.642;278.46;52.813;245.169;28.677;140.547;17.774;294.948;2.151
Model_38;0.51;0.52;1.72;0.52;1.48;1.13;1.52;0.57;0.86;2;2;1;1;2;1;2;1;1;;106.189;121.446;289.216;48.222;158.478;29.543;137.569;23.261;300.61;2.321
Model_39;0.57;0.53;1.74;0.56;0.95;0.79;1.88;0.71;0.48;2;2;2;2;1;1;1;1;1;;91.168;100.758;285.875;75.098;293.478;29.919;111.312;17.542;447.051;2.147
Model_40;0.34;0.44;1.81;0.51;1.11;1.24;1.53;0.33;0.62;1;2;2;2;1;2;1;2;1;;147.388;115.366;260.814;58.788;223.894;22.732;145.617;28.381;351.205;2.234
Model_41;0.54;0.44;1.74;0.68;1.49;1.15;1.55;0.40;0.66;1;1;2;1;1;1;2;1;1;;99.77;109.193;291.281;61.553;145.239;24.071;142.726;27.937;344.537;2.138
Model_42;0.74;0.46;1.74;0.74;0.94;0.80;1.76;0.64;0.60;2;2;2;1;2;1;2;2;2;;63.573;119.221;285.151;67.465;303.886;27.586;138.048;19.355;379.93;1.896
Model_43;0.68;0.58;1.32;0.41;1.31;1.04;2.02;0.72;0.61;2;2;1;1;1;2;1;1;2;;81.942;110.077;386.424;58.003;164.306;31.344;117.654;17.85;382.63;2.172
Model_44;0.35;0.43;1.54;0.84;1.31;1.03;1.71;0.65;0.49;1;2;2;2;1;2;1;1;1;;156.101;99.914;333.324;72.257;160.061;19.615;120.585;20.464;446.999;2.171
Model_45;0.64;0.61;1.75;0.72;1.27;1.05;1.75;0.30;0.61;1;2;2;2;1;1;2;2;2;;87.14;113.329;304.988;65.52;206.265;25.174;140.535;28.817;392.087;2.235
Model_46;0.34;0.51;1.26;0.72;1.11;1.05;1.92;0.37;0.87;2;1;2;2;2;2;1;2;1;;154.849;128.783;370.079;47.535;200.4;26.077;126.238;28.379;302.919;2.051
Model_47;0.71;0.75;1.65;0.62;1.07;0.89;1.58;0.60;0.88;1;2;1;2;2;2;1;1;2;;73.505;153.384;320.688;47.313;285.814;32.306;159.87;22.247;363.788;2.412
Model_48;0.53;0.67;1.73;0.60;1.23;0.86;1.45;0.43;0.48;2;2;2;1;1;1;1;1;2;;106.396;132.681;328.564;71.256;210.711;28.566;156.609;25.484;513.448;2.439
Model_49;0.59;0.71;1.76;0.41;1.41;0.98;1.67;0.40;0.60;2;1;2;1;2;1;2;1;2;;98.945;120.488;308.821;56.839;175.482;33.522;144.378;25.532;406.898;2.538
Model_50;0.35;0.74;1.35;0.51;1.21;1.02;1.90;0.70;0.49;1;2;1;2;2;2;1;2;2;;150.567;115.191;408.252;66.731;195.83;27.13;123.633;20.224;519.951;2.699
Model_51;0.49;0.75;1.76;0.62;1.41;1.24;1.91;0.51;0.64;1;2;2;1;1;2;1;2;2;;118.076;113.824;313.896;59.39;183.503;25.009;131.823;24.634;382.398;2.614
Model_52;0.37;0.56;1.82;0.58;1.48;0.72;1.54;0.57;0.74;1;2;2;1;2;1;2;1;2;;144.403;119.579;281.284;52.415;159.451;34.425;146.887;23.414;320.386;2.545
Model_53;0.46;0.56;1.75;0.63;0.99;0.91;1.88;0.48;0.88;2;1;1;1;2;1;2;1;1;;107.318;127.436;276.088;45.973;285.195;29.643;135.355;24.2;291.602;2.09
Model_54;0.59;0.62;1.49;0.77;1.23;0.87;1.98;0.42;0.63;2;2;2;1;1;2;1;2;1;;95.603;111.811;356.221;64.765;203.691;27.988;126.471;25.946;381.279;2.179
Model_55;0.71;0.60;1.70;0.78;1.36;1.19;2.01;0.54;0.77;1;2;2;2;1;2;1;1;1;;77.733;111.308;311.788;57.487;190.355;25.317;126.056;23.642;301.972;2.172
Model_56;0.77;0.56;1.64;0.62;1.23;1.16;1.55;0.64;0.71;1;1;2;1;1;2;2;2;1;;69.61;130.579;321.212;58.525;215.634;27.029;159.121;20.977;356.812;2.227
Model_57;0.64;0.69;1.82;0.83;1.45;1.00;1.50;0.44;0.69;1;1;1;2;1;2;1;1;2;;88.392;135.829;312.822;62.066;182.724;26.921;164.174;26.964;383.307;2.479
Model_58;0.31;0.47;1.85;0.41;1.23;0.67;1.49;0.35;0.77;2;2;1;2;1;1;2;1;1;;163.046;119.724;252.134;57.962;199.384;36.408;143.103;27.962;289.644;2.371
Model_59;0.59;0.62;1.75;0.79;1.19;0.74;1.49;0.64;0.52;2;1;1;2;1;1;2;2;2;;92.425;129.143;322.212;73.272;228.644;27.691;162.303;21.606;482.158;2.356
Model_60;0.48;0.48;1.68;0.37;1.42;1.18;2.03;0.75;0.62;2;1;2;1;2;1;1;2;2;;110.812;95.472;287.772;60.911;150.144;27.691;102.896;17.15;331.138;2.247
Model_61;0.30;0.48;1.34;0.53;1.38;1.12;2.00;0.68;0.83;1;1;2;1;1;1;1;1;1;;175.371;116.857;351.317;46.244;144.819;28.569;114.11;19.778;273.678;2.228
Model_62;0.49;0.61;1.27;0.64;1.51;0.70;1.85;0.58;0.79;2;2;2;2;1;1;1;2;2;;112.428;125.893;399.566;52.572;133.639;32.667;134.279;22.767;322.682;2.256
Model_63;0.51;0.54;1.53;0.36;1.19;0.71;2.03;0.69;0.62;2;1;2;1;1;1;1;1;1;;104.61;104.805;316.805;61.929;198.227;40.167;111.371;17.637;348.861;2.268
Model_64;0.40;0.61;1.77;0.40;1.27;0.90;1.82;0.40;0.60;2;1;1;1;1;1;2;2;1;;133.299;106.472;281.14;58.392;193.418;34.676;127.355;25.478;369.988;2.494
Model_65;0.33;0.52;1.82;0.39;1.14;0.76;1.96;0.55;0.71;2;1;1;2;1;1;2;1;1;;148.204;107.843;255.44;60.861;223.132;37.434;118.371;21.069;293.144;2.385
Model_66;0.50;0.47;1.80;0.77;1.04;0.70;1.65;0.63;0.69;2;1;1;1;1;2;1;1;2;;98.393;123.511;274.146;59.31;266.382;28.533;146.608;20.327;337.39;2.087
Model_67;0.77;0.54;1.39;0.38;1.43;1.23;1.99;0.74;0.89;1;2;1;1;1;2;1;1;2;;71.005;118.434;348.724;55.454;150.1;29.767;117.311;18.157;287.736;2.042
Model_68;0.32;0.50;1.49;0.58;1.44;0.97;1.53;0.56;0.51;1;2;2;1;1;1;1;1;2;;157.427;114.511;345.322;70.932;135.254;25.976;143.161;22.69;457.246;2.454
Model_69;0.78;0.63;1.78;0.47;1.37;1.10;2.03;0.49;0.70;1;1;1;2;1;1;2;1;1;;72.463;103.523;291.565;54.055;186.513;30.84;120.652;23.437;321.281;2.236
Model_70;0.39;0.50;1.56;0.61;1.23;0.84;1.83;0.39;0.50;1;2;2;1;2;2;2;1;2;;134.789;96.74;318.438;71.527;180.288;27.827;112.62;26.208;431.884;2.27
Model_71;0.33;0.58;1.71;0.85;1.20;1.21;1.57;0.38;0.85;1;1;1;1;1;1;2;2;2;;166.025;131.478;296.433;50.136;225.51;22.745;150.428;30.079;322.991;2.446
Model_72;0.35;0.50;1.85;0.85;1.47;1.05;1.67;0.52;0.73;2;2;2;1;1;1;2;2;2;;166.951;111.411;278.04;56.528;160.963;24.218;138.068;25.709;314.624;2.396
Model_73;0.60;0.68;1.38;0.57;1.19;1.16;1.89;0.43;0.85;1;2;2;2;1;1;2;2;1;;90.138;131.293;369.035;47.254;211.247;28.841;139.676;25.454;326.344;2.255
Model_74;0.37;0.60;1.65;0.61;1.11;0.93;1.50;0.47;0.83;2;1;2;2;1;1;1;1;2;;135.522;139.239;302.06;48.054;247.265;30.235;155.424;25.623;335.911;2.416
Model_75;0.59;0.69;1.38;0.41;1.10;0.72;1.84;0.58;0.83;1;1;1;2;2;2;1;2;1;;90.014;135.459;362.15;57.554;235.001;37.385;142.977;21.235;332.585;2.305
Model_76;0.72;0.46;1.60;0.43;1.39;0.80;1.49;0.50;0.64;1;1;2;1;2;1;2;2;1;;73.853;117.069;312.95;57.558;157.031;36.082;149.527;23.369;365.898;2.167
Model_77;0.71;0.49;1.70;0.59;1.01;1.03;1.60;0.65;0.85;2;2;2;1;2;2;2;2;1;;71.687;136.124;287.844;47.778;279.714;29.37;146.991;19.898;311.712;1.947
Model_78;0.60;0.57;1.72;0.50;1.15;0.76;1.49;0.39;0.58;2;2;1;1;1;1;2;1;1;;88.032;127.784;299.504;61.937;228.539;34.837;161.037;25.43;415.105;2.316
Model_79;0.41;0.50;1.56;0.38;1.37;1.19;2.02;0.73;0.67;2;2;2;2;2;2;1;1;2;;127.175;103.676;308.916;60.786;156.86;28.25;109.637;17.633;317.233;2.29
Model_80;0.71;0.54;1.35;0.77;1.27;0.87;2.01;0.55;0.87;2;2;2;2;2;2;1;2;2;;74.304;123.184;368.307;50.784;181.847;28.405;123.067;22.99;300.049;1.933
Model_81;0.77;0.69;1.31;0.37;1.04;1.16;1.92;0.32;0.67;2;2;2;1;1;1;2;1;2;;71.449;128.882;391.604;57.435;250.125;29.188;140.282;25.05;372.592;2.209
Model_82;0.60;0.66;1.32;0.56;0.93;0.83;1.53;0.66;0.87;2;2;2;2;2;2;2;2;2;;79.429;161.143;373.505;45.564;292.546;32.255;162.549;20.183;384.555;2.143
Model_83;0.35;0.50;1.38;0.75;1.26;1.10;1.65;0.51;0.84;2;1;2;1;1;2;2;1;1;;156.575;129.896;350.766;49.946;179.295;25.488;139.447;25.075;315.308;2.219
Model_84;0.68;0.62;1.68;0.46;1.48;1.07;1.60;0.69;0.85;2;1;1;2;1;1;2;2;1;;82.039;125.8;308.667;54.712;165.893;32.78;142.717;20.597;313.804;2.367
Model_85;0.65;0.49;1.33;0.42;1.23;1.23;1.64;0.44;0.51;1;1;1;2;2;2;2;2;1;;80.125;113.505;376.479;69.284;169.938;22.378;135.607;24.03;459.14;2.133
Model_86;0.46;0.68;1.75;0.78;1.30;1.22;1.84;0.57;0.80;1;2;2;1;1;2;1;2;1;;120.936;123.856;305.438;53.996;211.885;25.138;141.629;24.234;306.977;2.46
Model_87;0.39;0.68;1.28;0.39;1.08;0.79;1.74;0.66;0.60;2;1;1;1;2;1;1;1;2;;131.476;135.902;399.671;59.522;225.82;38.127;147.835;19.212;428.214;2.467
Model_88;0.48;0.68;1.77;0.59;1.50;0.77;1.66;0.71;0.62;1;2;2;2;2;2;1;2;2;;114.957;121.811;312.289;61.687;159.671;35.163;145.54;20.605;397.59;2.54
Model_89;0.69;0.55;1.50;0.38;0.95;1.12;2.01;0.55;0.82;1;2;1;1;1;1;2;1;2;;69.431;127.35;315.784;54.896;280.069;30.179;128.482;20.443;294.379;1.897
Model_90;0.70;0.56;1.32;0.52;1.41;1.00;1.60;0.35;0.56;1;1;1;1;1;1;2;1;2;;77.963;123.395;397.678;66.421;146.177;28.478;149.498;27.298;451.658;2.203
Model_91;0.33;0.76;1.72;0.59;1.47;1.01;1.72;0.55;0.68;1;2;1;1;2;2;2;1;2;;154.237;127.991;318.865;54.909;169.023;31.141;147.174;24.781;372.94;2.864
Model_92;0.78;0.76;1.61;0.47;1.43;0.77;2.00;0.31;0.69;1;1;1;2;2;1;2;1;2;;77.773;112.229;337.713;52.206;174.12;38.378;128.846;26.248;353.914;2.485
Model_93;0.74;0.70;1.59;0.73;1.29;1.15;1.85;0.72;0.81;1;1;2;2;1;1;2;2;2;;74.414;128.182;342.239;54.548;211.605;27.632;144.479;20.427;325.338;2.36
Model_94;0.36;0.58;1.56;0.63;1.42;0.91;1.73;0.35;0.76;2;2;1;2;2;1;2;2;2;;154.476;119.091;322.16;52.474;159.403;30.465;138.873;29.396;314.795;2.436
Model_95;0.69;0.71;1.37;0.67;1.24;0.88;1.80;0.68;0.90;2;1;2;1;2;2;2;2;1;;77.946;137.84;380.089;47.787;205.195;31.514;143.728;21.003;343.94;2.308
Model_96;0.63;0.65;1.70;0.67;1.18;1.07;1.84;0.59;0.50;1;2;2;2;2;2;1;1;2;;90.797;105.174;324.211;73.407;227.569;23.171;122.33;21.792;474.519;2.267
Model_97;0.47;0.52;1.30;0.77;1.49;0.72;1.47;0.49;0.81;2;1;1;1;2;1;2;1;2;;119.402;135.124;379.371;52.94;135.938;28.63;148.971;25.903;346.501;2.218
Model_98;0.59;0.70;1.80;0.58;0.97;0.96;1.64;0.66;0.52;1;2;1;1;1;1;2;1;1;;94.887;131.45;301.548;68.411;320.111;27.973;152.619;19.962;479.231;2.411
Model_99;0.66;0.71;1.56;0.73;0.97;0.96;1.66;0.55;0.68;2;1;2;1;2;2;2;1;2;;80.305;148.278;346.518;60.658;316.504;28.354;169.964;22.827;400.714;2.326
Model_100;0.45;0.44;1.51;0.47;1.29;0.96;1.88;0.68;0.56;2;1;2;1;1;1;2;1;2;;114.769;100.471;318.085;65.519;162.142;29.798;110.264;17.952;377.562;2.142
Model_101;0.43;0.67;1.25;0.52;1.26;0.98;1.75;0.61;0.79;2;2;1;2;1;1;1;2;1;;120.858;139.492;402.521;48.504;178.407;32.475;146.642;21.769;345.958;2.372
Model_102;0.67;0.55;1.59;0.36;1.47;0.82;1.55;0.37;0.60;1;2;1;2;2;2;1;2;1;;80.938;118.417;322.674;60.983;144.013;37.808;147.296;26.602;395.407;2.317
Model_103;0.66;0.64;1.28;0.83;1.43;1.01;1.73;0.59;0.75;2;1;2;1;1;2;2;2;2;;83.922;134.829;419.729;58.901;157.866;27.056;150.632;23.112;354.667;2.217
Model_104;0.38;0.76;1.56;0.51;1.02;1.20;2.03;0.33;0.66;2;2;1;2;2;2;2;2;1;;141.223;120.929;330.125;53.638;280.506;26.684;133.24;26.655;369.146;2.565
Model_105;0.46;0.73;1.46;0.35;1.21;1.04;1.64;0.73;0.56;1;2;2;2;1;2;2;1;1;;119.074;138.029;371.913;66.036;207.615;31.878;151.699;18.686;464.286;2.656
Model_106;0.35;0.66;1.79;0.66;1.45;1.03;1.86;0.68;0.82;1;1;1;1;1;1;2;2;1;;156.093;116.092;291.964;50.381;174.703;29.965;134.163;22.252;289.917;2.589
Model_107;0.46;0.51;1.49;0.74;1.10;1.23;1.69;0.46;0.61;1;1;2;2;2;2;2;1;2;;111.462;120.816;338.873;65.225;228.299;20.774;145.316;24.864;395.638;2.175
Model_108;0.46;0.76;1.84;0.66;1.10;0.79;1.65;0.60;0.87;2;2;1;1;2;2;2;2;1;;114.563;144.752;286.862;47.698;282.676;32.594;157.802;23.166;337.398;2.579
Model_109;0.41;0.47;1.70;0.42;1.10;0.70;1.55;0.33;0.57;1;1;2;1;1;2;2;1;1;;120.884;113.915;278.162;59.169;220.97;36.935;144.129;26.795;383.172;2.267
Model_110;0.37;0.75;1.81;0.64;1.44;1.03;1.50;0.56;0.66;2;1;1;2;2;2;2;1;1;;141.54;140.334;311.432;58.933;180.443;29.495;163.572;24.779;395.447;2.821
Model_111;0.36;0.60;1.48;0.82;1.27;0.83;1.54;0.72;0.82;1;1;2;2;1;2;1;2;2;;146.744;139.182;348.544;53.294;196.896;28.089;153.653;21.264;344.378;2.466
Model_112;0.49;0.47;1.39;0.74;1.31;0.81;1.86;0.67;0.76;1;2;2;2;1;2;2;2;1;;109.052;120.199;354.95;56.187;167.329;29.172;127.41;19.93;303.839;2.055
Model_113;0.64;0.70;1.62;0.35;1.12;0.67;1.56;0.67;0.54;2;1;2;1;1;2;1;1;1;;89.414;137.512;334.79;62.999;245.254;42.977;156.916;19.091;471.365;2.511
Model_114;0.40;0.46;1.44;0.85;1.47;0.68;1.48;0.64;0.78;1;2;2;2;2;1;1;1;1;;142.803;128.992;348.194;55.206;143.326;26.885;146.877;22.131;321.991;2.22
Model_115;0.57;0.75;1.75;0.62;1.01;1.12;1.46;0.42;0.59;1;2;2;1;2;2;1;1;1;;97.577;158.931;318.928;63.004;312.575;25.72;179.126;25.179;459.638;2.553
Model_116;0.42;0.49;1.44;0.40;1.13;1.20;1.54;0.64;0.68;2;2;1;1;1;1;1;2;1;;116.578;131.645;331.751;56.647;208.859;27.173;152.215;19.268;355.643;2.256
Model_117;0.39;0.60;1.49;0.35;1.29;1.11;1.48;0.36;0.83;1;2;1;1;1;1;1;2;1;;128.665;136.259;324.245;60.573;183.231;31.087;148.208;27.716;332.014;2.454
Model_118;0.62;0.72;1.55;0.78;1.44;1.16;2.04;0.50;0.81;2;1;1;2;1;2;1;1;1;;94.474;117.111;351.109;54.916;173.059;26.827;130.516;25.168;308.295;2.408
Model_119;0.59;0.45;1.47;0.51;1.45;1.11;1.83;0.65;0.84;1;1;2;2;1;1;2;2;2;;89.542;116.148;326.696;47.295;144.771;29.649;119.94;20.189;277.103;2.01
Model_120;0.53;0.52;1.29;0.85;1.44;0.71;1.47;0.44;0.65;2;2;2;2;1;2;2;1;2;;102.329;136.606;405.894;64.13;144.006;27.255;165.338;26.744;411.438;2.199
Model_121;0.69;0.63;1.56;0.44;1.09;0.94;1.65;0.71;0.77;1;2;1;1;1;1;1;1;2;;74.398;139.157;325.379;53.947;254.173;34.46;154.844;18.671;335.151;2.228
Model_122;0.31;0.54;1.37;0.81;1.33;0.81;1.97;0.64;0.86;1;2;2;2;1;2;1;2;2;;174.758;121.959;358.562;49.973;164.867;27.728;123.146;22.251;294.739;2.3
Model_123;0.58;0.65;1.55;0.59;1.28;0.82;2.00;0.46;0.82;2;2;1;1;1;1;2;1;2;;95.643;118.055;328.755;48.671;197.419;33.14;129.022;24.668;298.391;2.257
Model_124;0.38;0.43;1.80;0.52;0.93;0.89;1.86;0.44;0.73;2;1;1;2;2;2;1;1;2;;124.125;120.093;250.866;50.731;284.9;30.801;124.846;23.403;289.044;1.955
Model_125;0.39;0.77;1.32;0.69;1.02;1.01;1.95;0.49;0.58;2;1;1;2;2;2;1;1;2;;139.702;127.6;412.827;64.762;267.483;26.312;136.656;24.457;454.704;2.549
Model_126;0.38;0.69;1.55;0.72;1.38;1.03;1.81;0.57;0.85;2;2;2;1;1;1;1;1;1;;144.902;128.184;339.284;50.034;180.699;28.824;140.081;24.509;317.64;2.527
Model_127;0.63;0.71;1.33;0.85;1.49;1.00;1.53;0.59;0.76;1;1;2;2;2;1;2;1;2;;88.311;150.866;418.555;59.033;156.824;27.224;164.224;23.863;378.426;2.451
Model_128;0.46;0.50;1.33;0.63;0.96;1.14;1.67;0.49;0.84;1;2;1;2;2;1;2;1;2;;100.907;141.788;350.454;47.915;258.75;25.988;144.956;23.495;330.288;1.925
Model_129;0.59;0.51;1.73;0.69;1.39;0.95;1.90;0.61;0.60;2;1;2;2;1;1;2;1;1;;92.762;98.565;298.794;68.082;166.887;27.353;117.686;21.224;365.185;2.198
Model_130;0.77;0.68;1.34;0.79;1.12;0.98;1.67;0.64;0.51;1;2;2;2;1;2;2;1;1;;71.77;136.238;432.135;75.65;235.908;23.525;153.057;21.32;537.928;2.261
Model_131;0.34;0.58;1.79;0.79;1.43;1.10;1.88;0.51;0.85;2;2;1;2;2;1;1;1;2;;169.524;113.252;284.805;50.464;173.922;25.793;127.523;26.175;280.679;2.469
Model_132;0.43;0.55;1.64;0.75;1.27;1.13;1.68;0.31;0.89;1;2;2;2;2;1;1;2;1;;132.212;124.923;303.247;47.984;200.545;25.441;136.732;31.101;304.69;2.255
Model_133;0.60;0.56;1.28;0.47;1.39;0.90;1.95;0.70;0.82;1;1;2;1;2;2;1;2;2;;89.128;120.965;381.439;51.471;148.433;34.484;123.972;19.004;302.816;2.118
Model_134;0.71;0.65;1.39;0.44;1.45;0.92;1.71;0.47;0.65;1;1;1;2;2;1;1;1;1;;79.829;126.411;382.952;55.64;149.753;34.972;145.45;24.041;391.303;2.308
Model_135;0.55;0.47;1.57;0.80;1.39;0.88;1.55;0.67;0.80;1;2;2;1;2;1;1;2;2;;97.62;125.505;322.271;53.908;167.572;27.52;142.489;21.014;311.17;2.14
Model_136;0.56;0.72;1.81;0.41;1.04;0.84;1.94;0.58;0.50;1;1;1;1;2;2;2;2;1;;105.864;102.869;289.256;61.51;280.869;34.911;115.688;20.733;459.667;2.481
