;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_1;0.77;0.75;1.26;0.73;1.26;0.93;1.66;0.41;0.52;2;2;1;1;1;2;2;1;1;;77.046;143.767;468.067;73.046;200.61;26.145;154.031;25.758;545.528;2.403
Model_2;0.36;0.49;1.32;0.37;0.94;0.75;1.84;0.50;0.58;1;2;1;1;1;2;1;2;2;;131.512;120.346;346.084;57.93;250.751;36.993;125.928;20.534;386.045;2.167
Model_3;0.63;0.69;1.46;0.82;1.03;0.81;1.57;0.64;0.73;1;2;1;2;1;1;2;1;1;;82.187;157.226;370.605;59.903;284.075;28.39;175.053;21.625;383.524;2.324
Model_4;0.63;0.57;1.60;0.82;1.11;1.02;1.75;0.35;0.52;1;1;1;1;1;2;2;2;2;;85.496;110.373;333.419;71.769;239.122;21.599;135.139;27.934;462.1;2.135
Model_5;0.41;0.58;1.54;0.42;1.12;1.24;1.79;0.46;0.48;1;2;1;2;1;2;2;2;2;;128.932;104.594;326.074;66.112;214.761;21.533;118.838;23.239;469.473;2.4
Model_6;0.54;0.53;1.62;0.77;1.32;0.83;1.97;0.70;0.63;2;1;2;2;1;2;2;1;2;;101.506;103.777;319.982;65.792;181.01;28.448;118.871;19.506;359.941;2.205
Model_7;0.75;0.59;1.33;0.66;1.14;0.80;1.53;0.40;0.81;2;1;1;1;2;2;2;1;2;;70.045;144.964;376.555;51.5;219.679;30.925;158.248;26.361;362.115;2.061
Model_8;0.67;0.49;1.66;0.49;1.38;1.00;1.61;0.38;0.63;1;2;2;1;1;1;1;1;2;;79.342;112.382;303.329;59.532;163.107;30.118;140.936;26.666;365.633;2.18
Model_9;0.38;0.74;1.43;0.80;1.42;0.96;1.69;0.50;0.75;1;2;1;1;2;1;1;1;1;;143.603;140.667;383.778;56.611;168.365;28.163;153.996;26.358;358.005;2.642
Model_10;0.75;0.68;1.42;0.73;1.40;0.70;1.79;0.70;0.86;1;1;2;1;1;1;1;1;2;;73.078;132.022;374.645;51.422;173.234;30.894;141.567;20.692;336.359;2.308
Model_11;0.55;0.69;1.43;0.46;1.29;0.81;1.66;0.57;0.83;1;1;2;1;2;2;1;2;2;;97.599;137.515;357.904;54.453;191.098;36.409;147.405;22.55;341.034;2.431
Model_12;0.73;0.61;1.60;0.37;1.27;1.16;1.81;0.52;0.49;2;1;2;2;2;1;2;2;2;;78.474;100.905;331.458;64.725;186.117;24.848;118.778;22.247;466.972;2.285
Model_13;0.53;0.45;1.61;0.76;0.99;1.08;1.68;0.55;0.66;1;2;1;1;2;1;1;1;2;;90.006;126.205;303.37;61.242;271.497;23.557;145.304;21.812;357.248;1.963
Model_14;0.42;0.54;1.73;0.57;1.29;1.20;1.89;0.64;0.58;2;1;1;2;2;2;2;1;2;;126.869;100.099;290.941;65.272;184.791;23.66;117.934;20.309;377.39;2.367
Model_15;0.34;0.63;1.71;0.46;1.33;1.09;1.53;0.44;0.62;1;2;1;1;1;1;1;2;1;;146.57;128.808;303.34;55.339;182.23;28.945;155.658;25.803;392.926;2.632
Model_16;0.58;0.74;1.45;0.60;1.07;1.25;1.86;0.61;0.56;1;2;1;1;1;1;2;1;1;;99.749;126.397;379.956;65.687;261.131;22.514;139.273;21.28;465.383;2.453
Model_17;0.44;0.57;1.74;0.50;1.03;0.97;1.45;0.47;0.86;2;2;1;2;1;1;2;2;2;;110.079;141.461;278.268;49.083;274.287;31.078;154.954;24.623;333.82;2.262
Model_18;0.41;0.44;1.72;0.77;1.10;1.04;1.70;0.47;0.77;2;2;2;1;1;1;2;1;1;;130.058;123.025;281.242;53.139;237.587;24.934;137.527;24.939;295.157;2.042
Model_19;0.45;0.53;1.37;0.76;1.19;0.97;1.59;0.50;0.78;1;1;1;1;1;1;2;1;1;;115.706;135.447;361.746;54.242;200.048;26.926;152.142;24.763;333.718;2.193
Model_20;0.65;0.51;1.55;0.41;1.23;1.13;1.75;0.55;0.86;2;2;2;1;2;2;2;2;2;;80.904;123.142;309.693;54.179;198.966;30.389;130.389;22.021;293.493;2.069
Model_21;0.55;0.53;1.83;0.81;1.19;1.11;1.77;0.66;0.61;1;1;2;2;2;2;1;1;2;;96.3;109.672;285.512;66.502;226.318;22.7;134.891;20.505;376.275;2.227
Model_22;0.49;0.59;1.30;0.48;1.03;0.97;1.91;0.33;0.49;2;1;1;1;2;1;1;2;1;;112.464;107.067;386.108;67.824;232.031;27.188;117.689;26.361;478.167;2.204
Model_23;0.49;0.47;1.29;0.47;1.08;1.20;1.97;0.74;0.77;2;1;2;2;1;2;1;2;2;;100.374;124.738;361.929;49.083;209.596;27.679;121.013;16.882;290.208;1.937
Model_24;0.47;0.76;1.56;0.72;1.17;1.10;2.02;0.39;0.51;1;2;1;1;1;2;2;2;1;;126.732;104.399;359.08;69.812;231.088;22.324;118.156;26.722;487.574;2.532
Model_25;0.31;0.66;1.46;0.84;1.10;0.91;1.73;0.53;0.77;1;1;1;2;1;1;2;1;1;;162.086;138.577;355.555;55.478;244.067;26.638;155.437;25.341;339.501;2.462
Model_26;0.33;0.57;1.53;0.46;1.29;0.78;1.62;0.61;0.71;2;1;1;2;1;1;2;2;1;;148.886;126.056;323.421;53.66;180.325;36.362;147.773;21.434;340.336;2.535
Model_27;0.50;0.63;1.48;0.41;0.92;1.02;1.87;0.33;0.88;1;2;2;1;2;2;2;1;1;;98.662;136.389;321.959;53.921;293.883;31.518;141.586;26.122;318.104;2.07
Model_28;0.47;0.58;1.81;0.64;0.99;0.81;1.82;0.61;0.82;1;2;1;2;2;2;1;1;1;;105.593;129.78;271.685;50.207;294.518;31.206;142.46;21.085;299.074;2.175
Model_29;0.43;0.60;1.83;0.78;0.94;0.94;1.98;0.36;0.50;1;2;2;1;1;1;2;2;1;;125.609;98.511;276.55;70.74;313.735;22.689;111.291;27.123;440.315;2.216
Model_30;0.67;0.47;1.43;0.82;0.99;1.19;1.52;0.43;0.57;2;2;2;1;1;1;1;2;1;;71.936;133.913;359.225;68.771;266.708;19.251;165.428;25.593;444.868;1.958
Model_31;0.44;0.67;1.29;0.62;1.13;1.10;1.74;0.73;0.72;2;1;2;1;1;1;1;2;1;;118.098;141.178;404.067;55.542;220.266;28.232;154.004;19.583;364.215;2.367
Model_32;0.32;0.49;1.78;0.75;1.28;0.79;1.86;0.71;0.50;2;2;1;2;2;1;2;1;1;;165.267;91.601;285.093;72.856;180.382;26.075;107.569;19.321;414.971;2.367
