;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_1;0.44;0.65;1.61;0.61;1.08;0.94;1.62;0.53;0.73;1;1;2;1;1;1;2;2;2;;116.606;138.656;319.805;53.707;260.291;30.782;160.914;23.562;352.563;2.386
Model_2;0.47;0.65;1.57;0.50;1.06;0.83;1.63;0.54;0.71;2;2;2;1;2;2;2;1;2;;110.092;139.334;324.034;51.388;261.981;35.026;159.636;22.224;359.584;2.353
Model_3;0.57;0.58;1.59;0.63;1.02;0.96;1.72;0.56;0.71;2;2;2;2;2;1;2;2;1;;89.218;131.8;318.11;57.426;275.114;29.441;152.141;21.953;346.83;2.159
Model_4;0.59;0.54;1.49;0.61;1.11;0.81;1.70;0.44;0.62;1;1;2;2;1;1;1;2;1;;87.663;122.401;339.51;63.853;228.179;31.11;145.131;24.637;389.64;2.165
Model_5;0.55;0.64;1.56;0.66;1.04;1.01;1.81;0.54;0.61;1;2;1;1;2;1;2;2;2;;97.87;124.628;334.532;63.764;269.634;27.015;143.926;22.559;408.12;2.23
Model_6;0.57;0.63;1.70;0.65;1.22;0.91;1.66;0.50;0.72;1;1;2;2;2;1;2;1;2;;94.595;127.517;308.935;56.786;223.255;30.766;152.835;24.222;347.224;2.332
Model_7;0.58;0.66;1.54;0.65;1.08;0.84;1.75;0.46;0.70;2;2;2;2;2;2;1;1;2;;92.636;133.802;339.305;57.64;258.781;31.472;152.435;24.386;364.936;2.275
Model_8;0.60;0.59;1.50;0.69;1.16;0.93;1.80;0.59;0.59;1;2;1;1;2;2;2;1;2;;89.897;118.293;350.355;67.124;219.914;27.763;138.047;21.448;415.715;2.208
Model_9;0.51;0.59;1.67;0.61;1.02;0.89;1.65;0.59;0.66;2;2;1;1;2;2;1;2;1;;100.548;132.537;304.032;59.487;278.976;30.903;156.345;21.276;374.101;2.268
Model_10;0.44;0.63;1.48;0.56;1.08;0.88;1.73;0.44;0.75;1;1;1;1;2;2;2;2;1;;116.688;133.113;338.293;51.187;244.797;32.629;150.611;25.191;331.749;2.309
Model_11;0.49;0.54;1.72;0.65;1.21;0.91;1.88;0.49;0.77;2;1;2;2;1;2;2;2;2;;108.099;114.376;288.717;53.17;214.904;30.209;129.855;24.329;294.357;2.219
Model_12;0.40;0.62;1.61;0.60;1.20;0.91;1.63;0.56;0.76;2;1;2;1;1;2;1;1;2;;128.206;132.014;317.021;51.754;219.208;31.758;152.092;23.17;330.463;2.452
Model_13;0.47;0.65;1.55;0.56;1.20;0.94;1.70;0.42;0.75;1;2;1;1;1;1;1;2;1;;113.174;132.272;330.184;51.354;217.102;32.047;150.007;25.946;333.999;2.366
Model_14;0.46;0.56;1.59;0.68;1.09;0.82;1.66;0.50;0.68;1;1;2;2;1;1;1;2;1;;111.292;128.223;318.431;59.846;245.345;29.954;152.108;23.946;360.58;2.281
Model_15;0.59;0.59;1.71;0.65;1.01;1.01;1.70;0.54;0.64;2;1;2;1;2;1;1;2;1;;87.664;127.1;300.529;62.338;287.664;27.476;152.144;22.463;381.111;2.2
Model_16;0.58;0.65;1.61;0.60;1.23;0.87;1.70;0.50;0.60;2;2;1;2;2;1;1;2;1;;96.279;124.357;332.965;64.061;210.826;31.353;146.787;23.731;415.036;2.332
Model_17;0.58;0.62;1.58;0.59;1.10;0.87;1.80;0.44;0.68;1;2;1;2;2;1;2;1;1;;92.299;124.582;323.381;57.895;246.99;31.86;144.236;24.478;357.71;2.219
Model_18;0.42;0.63;1.65;0.58;1.20;0.86;1.71;0.55;0.64;1;1;1;1;1;2;2;1;2;;125.371;122.793;313.21;58.869;217.148;32.515;146.777;22.745;381.431;2.461
Model_19;0.52;0.60;1.50;0.68;1.23;0.78;1.69;0.48;0.63;1;2;2;2;1;2;1;1;2;;103.684;125.765;349.959;63.554;201.068;30.907;148.422;24.358;397.975;2.305
Model_20;0.56;0.66;1.65;0.53;1.05;0.93;1.82;0.57;0.71;2;1;1;2;1;2;2;2;2;;95.714;127.787;309.032;53.616;272.585;32.894;146.806;21.66;346.262;2.292
Model_21;0.53;0.60;1.49;0.57;1.09;0.97;1.75;0.45;0.74;2;2;1;2;2;1;1;1;2;;98.069;130.907;335.416;52.938;241.326;30.583;146.838;24.427;333.951;2.198
Model_22;0.54;0.64;1.57;0.53;1.09;0.87;1.80;0.52;0.65;1;1;2;1;1;1;2;1;1;;99.987;123.895;327.29;57.342;249.551;33.31;143.814;22.474;375.154;2.294
Model_23;0.55;0.58;1.65;0.58;1.20;0.88;1.70;0.42;0.76;2;1;1;2;2;1;1;2;1;;96.357;124.206;305.031;52.553;218.694;32.103;144.776;25.967;316.994;2.263
Model_24;0.51;0.61;1.49;0.68;1.15;0.99;1.78;0.47;0.74;1;1;1;2;1;2;1;1;1;;103.786;128.24;343.176;56.199;226.06;28.739;145.627;24.846;334.972;2.246
Model_25;0.51;0.57;1.49;0.63;1.21;0.95;1.70;0.55;0.67;1;2;2;1;2;1;1;2;1;;103.385;125.739;344.535;59.781;203.743;29.523;146.614;22.652;367.139;2.282
