;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_26;0.53;0.57;1.60;0.64;1.19;0.98;1.82;0.60;0.63;2;1;1;2;1;2;2;2;2;;101.3;114.524;320.339;63.432;214.105;28.407;135.038;21.328;375.635;2.265
Model_27;0.54;0.64;1.69;0.51;1.03;0.85;1.86;0.58;0.76;2;2;1;2;2;2;2;2;1;;97.297;127.547;295.849;50.189;279.013;34.498;143.142;21.26;313.958;2.236
Model_28;0.54;0.54;1.65;0.51;0.99;0.86;1.76;0.59;0.67;2;2;1;1;1;2;1;1;1;;92.849;125.394;295.059;56.226;278.316;33.236;142.937;20.106;348.82;2.151
Model_29;0.45;0.61;1.49;0.59;1.12;0.94;1.86;0.51;0.70;2;1;2;1;1;1;1;2;2;;116.893;122.728;338.693;55.385;230.267;30.715;138.148;23.38;344.571;2.294
Model_30;0.45;0.55;1.54;0.58;1.01;0.86;1.68;0.48;0.68;1;1;1;1;2;2;2;1;2;;110.567;129.389;317.979;56.455;264.379;31.411;151.092;23.429;357.684;2.222
Model_31;0.52;0.56;1.57;0.61;1.04;1.00;1.86;0.54;0.66;1;2;2;1;2;2;2;1;1;;99.233;119.978;317.825;59.746;258.967;28.575;135.984;21.92;354.594;2.169
Model_32;0.60;0.54;1.64;0.61;1.09;0.96;1.62;0.43;0.72;1;2;2;2;1;1;2;2;2;;83.792;129.537;304.91;55.799;248.645;29.499;153.457;25.23;339.948;2.15
Model_33;0.58;0.66;1.47;0.52;1.09;0.78;1.73;0.41;0.76;1;1;2;1;2;2;2;2;2;;91.379;135.126;345.7;49.351;246.433;35.019;151.838;25.247;334.392;2.271
Model_34;0.48;0.56;1.63;0.63;1.15;0.83;1.85;0.53;0.64;2;2;1;2;2;1;1;2;1;;110.515;114.18;308.602;61.998;224.597;30.931;131.632;22.68;360.747;2.264
Model_35;0.60;0.60;1.50;0.62;1.09;0.87;1.80;0.59;0.64;2;1;1;2;1;1;1;2;2;;88.393;123.995;343.17;62.234;243.602;30.837;142.65;21.236;385.619;2.199
Model_36;0.47;0.62;1.50;0.58;1.09;0.82;1.85;0.59;0.62;1;2;2;2;2;1;1;1;2;;112.771;121.017;341.394;61.283;240.742;32.41;136.547;21.065;391.125;2.307
Model_37;0.57;0.65;1.72;0.65;1.10;0.84;1.66;0.51;0.68;1;1;1;1;2;1;2;2;2;;93.876;131.788;304.744;58.609;262.481;31.465;157.695;23.695;371.795;2.312
Model_38;0.55;0.58;1.68;0.63;1.16;0.93;1.66;0.59;0.65;1;1;2;2;1;2;1;2;2;;95.673;124.089;308.275;61.541;231.336;29.922;150.237;21.703;375.859;2.307
Model_39;0.44;0.59;1.67;0.60;1.15;1.01;1.62;0.42;0.68;1;2;1;2;1;2;1;1;1;;118.18;128.735;304.038;57.505;231.725;28.895;154.03;25.834;360.237;2.376
Model_40;0.46;0.62;1.66;0.56;1.16;0.97;1.66;0.45;0.64;2;2;2;2;2;1;1;1;2;;115.576;126.367;310.486;58.71;229.436;30.118;150.561;24.669;383.126;2.391
Model_41;0.40;0.66;1.52;0.59;1.07;0.90;1.81;0.47;0.69;2;1;2;2;2;2;1;1;2;;129.552;128.477;336.064;55.579;253.401;31.591;145.808;24.436;359.914;2.374
Model_42;0.41;0.54;1.60;0.54;1.09;0.88;1.86;0.51;0.76;2;2;2;2;1;1;2;2;1;;123.082;121.341;302.032;50.761;237.861;32.134;133.335;22.943;299.325;2.232
Model_43;0.44;0.53;1.62;0.59;1.14;0.83;1.69;0.46;0.61;1;1;2;1;2;2;1;2;1;;117.244;116.65;307.879;62.506;220.988;31.287;140.915;24.354;380.282;2.302
Model_44;0.58;0.62;1.48;0.64;1.03;0.95;1.84;0.43;0.75;2;2;1;2;1;2;1;1;2;;89.528;131.66;340.622;54.264;264.71;29.807;145.215;24.857;330.08;2.117
Model_45;0.47;0.56;1.50;0.51;1.09;0.98;1.79;0.41;0.69;2;2;1;1;2;1;2;2;1;;110.08;122.933;325.823;53.952;232.84;30.785;139.809;25.124;341.201;2.22
Model_46;0.57;0.60;1.58;0.59;1.00;0.81;1.76;0.48;0.63;2;2;1;2;1;2;2;2;2;;91.639;126.9;319.54;61.232;279.439;32.115;147.48;23.197;388.477;2.177
Model_47;0.45;0.66;1.55;0.52;0.99;0.87;1.86;0.45;0.76;1;2;1;1;2;2;2;2;1;;114.173;131.95;320.735;49.093;283.003;33.614;145.767;24.235;319.765;2.281
Model_48;0.57;0.62;1.69;0.56;1.03;0.90;1.79;0.54;0.62;2;2;1;2;2;2;1;2;2;;93.644;122.526;301.294;61.002;276.806;31.469;142.475;21.927;388.333;2.236
Model_49;0.54;0.61;1.59;0.56;1.06;0.99;1.75;0.60;0.68;1;2;2;1;1;2;1;2;1;;96.74;129.325;320.662;56.83;260.911;30.571;148.522;20.975;361.029;2.257
Model_50;0.54;0.56;1.53;0.70;1.01;0.95;1.85;0.57;0.66;1;1;1;1;2;2;2;1;2;;94.468;122.622;328.454;61.457;269.874;27.75;139.481;21.578;364.049;2.122
Model_51;0.51;0.61;1.49;0.61;1.09;0.92;1.84;0.40;0.76;1;2;2;1;2;1;1;1;2;;102.391;127.609;336.137;52.022;241.834;30.66;141.137;25.809;319.506;2.186
Model_52;0.45;0.59;1.66;0.66;0.97;0.83;1.69;0.59;0.71;2;2;2;1;1;1;1;1;1;;111.073;135.809;302.666;56.808;297.625;30.512;156.222;21.41;348.515;2.244
Model_53;0.56;0.55;1.47;0.57;1.06;0.90;1.65;0.42;0.71;1;2;1;2;2;2;2;1;1;;89.937;132.805;336.02;55.473;245.277;31.289;153.169;24.961;348.073;2.141
Model_54;0.46;0.56;1.66;0.61;1.16;0.87;1.87;0.43;0.68;1;2;1;1;1;2;1;1;1;;114.815;114.352;299.003;57.587;222.786;31.173;131.126;25.12;335.843;2.27
Model_55;0.50;0.57;1.65;0.56;1.09;0.93;1.65;0.60;0.71;2;1;1;1;2;1;2;2;1;;102.464;128.868;303.689;54.861;249.83;31.528;152.479;21.164;342.809;2.289
Model_56;0.58;0.60;1.68;0.59;1.08;0.96;1.68;0.45;0.60;1;2;1;2;1;2;2;1;2;;91.646;123.846;306.287;63.549;255.853;28.986;149.536;24.134;404.98;2.253
Model_57;0.41;0.66;1.53;0.53;1.15;0.82;1.76;0.43;0.67;2;1;1;1;1;2;2;1;1;;128.885;126.897;334.352;54.711;226.164;34.571;146.845;25.147;368.34;2.427
Model_58;0.59;0.58;1.54;0.67;1.18;0.90;1.80;0.50;0.63;2;2;2;1;1;1;1;1;2;;91.276;118.708;336.801;63.449;216.261;29.063;138.422;23.425;384.413;2.206
Model_59;0.41;0.66;1.66;0.69;0.98;0.89;1.69;0.45;0.70;1;2;1;2;1;1;2;1;2;;123.856;139.172;308.254;57.316;300.821;29.224;161.109;25.168;365.268;2.341
Model_60;0.57;0.59;1.65;0.53;1.17;0.83;1.84;0.45;0.72;1;2;2;2;2;2;1;1;2;;93.487;118.685;303.941;53.184;225.253;34.101;135.757;24.186;325.314;2.235
Model_61;0.56;0.63;1.62;0.53;1.12;0.86;1.68;0.46;0.71;1;2;1;1;1;2;1;2;2;;94.598;131.997;314.4;52.979;244.08;33.867;152.584;24.18;351.79;2.288
Model_62;0.50;0.59;1.73;0.52;1.01;0.83;1.70;0.44;0.62;1;1;1;1;2;2;1;1;1;;103.927;123.397;287.488;58.908;279.124;33.427;147.491;23.939;380.955;2.286
Model_63;0.55;0.64;1.58;0.56;1.13;0.88;1.83;0.44;0.66;1;2;1;2;2;1;1;2;2;;98.916;122.158;324.719;57.635;236.929;32.353;140.133;24.552;368.782;2.268
Model_64;0.59;0.64;1.51;0.60;1.19;0.90;1.79;0.41;0.64;1;1;2;1;1;1;1;2;2;;93.561;122.361;347.353;60.214;215.88;31.062;142.495;25.617;388.301;2.264
Model_65;0.40;0.64;1.70;0.54;1.22;0.85;1.79;0.57;0.71;1;1;2;2;2;1;1;2;1;;130.322;120.725;301.144;53.587;216.716;34.103;140.739;22.607;335.395;2.486
Model_66;0.45;0.61;1.64;0.70;1.13;0.80;1.67;0.45;0.75;2;1;2;1;1;1;1;2;1;;116.168;131.126;312.449;54.921;242.927;30.418;152.773;25.858;332.075;2.339
Model_67;0.47;0.61;1.53;0.64;1.09;0.99;1.78;0.59;0.61;2;1;1;2;1;2;1;1;1;;113.17;122.792;337.994;64.333;243.877;27.791;142.567;21.535;402.053;2.316
Model_68;0.59;0.56;1.54;0.64;1.11;1.02;1.84;0.44;0.76;2;2;1;2;2;1;1;1;1;;87.7;124.34;323.795;54.326;237.063;28.561;137.983;24.927;312.543;2.101
Model_69;0.55;0.60;1.52;0.55;1.04;0.95;1.83;0.44;0.73;1;2;2;1;2;1;1;2;2;;93.974;127.684;327.477;52.455;259.608;31.2;142.164;24.375;331.084;2.156
Model_70;0.58;0.66;1.53;0.51;1.15;0.87;1.63;0.51;0.59;1;2;2;1;1;1;1;1;1;;94.886;133.802;348.409;60.816;229.39;33.233;155.057;22.755;432.861;2.36
Model_71;0.43;0.54;1.72;0.57;1.19;0.86;1.73;0.45;0.71;2;2;1;1;2;2;2;1;1;;120.908;117.95;286.252;54.357;215.92;32.251;139.61;24.817;323.533;2.316
Model_72;0.46;0.62;1.57;0.59;1.22;0.87;1.66;0.55;0.65;2;2;1;2;1;2;2;1;2;;115.714;128.161;330.65;59.446;208.103;32.069;151.709;22.659;384.493;2.403
Model_73;0.42;0.61;1.58;0.69;1.00;0.90;1.77;0.44;0.72;1;1;1;1;2;1;2;1;1;;120.635;130.825;317.888;56.187;280.597;28.98;150.579;25.395;341.693;2.267
Model_74;0.56;0.55;1.51;0.50;1.09;0.95;1.79;0.52;0.75;2;1;1;1;2;1;1;2;1;;91.185;125.321;323.563;50.623;236.607;32.186;139.244;22.419;315.22;2.144
Model_75;0.56;0.59;1.70;0.56;1.10;0.94;1.83;0.59;0.64;1;1;2;1;2;1;2;1;2;;94.808;115.773;298.203;59.615;249.107;30.898;136.258;20.923;365.388;2.26
Model_76;0.49;0.62;1.48;0.53;1.19;0.81;1.76;0.48;0.61;1;1;1;1;2;2;1;1;1;;110.373;121.262;347.997;60.165;206.858;34.164;140.716;23.606;400.084;2.354
Model_77;0.50;0.63;1.54;0.61;1.01;0.86;1.81;0.45;0.62;2;1;2;1;1;1;1;1;2;;106.574;124.653;331.815;61.271;274.917;30.718;143.364;24.137;396.887;2.246
Model_78;0.47;0.65;1.59;0.61;1.21;0.92;1.76;0.51;0.65;1;1;2;2;2;2;2;1;2;;115.294;122.649;330.151;59.722;215.166;30.924;144.869;23.749;380.359;2.394
Model_79;0.51;0.55;1.68;0.59;1.02;0.81;1.66;0.46;0.64;2;2;1;2;1;2;2;1;2;;99.674;126.202;294.715;60.375;270.434;31.756;151.356;23.687;373.716;2.208
Model_80;0.50;0.58;1.57;0.62;1.20;0.90;1.63;0.59;0.75;1;2;2;1;1;2;1;2;1;;103.859;131.608;324.817;54.02;215.65;31.408;151.399;22.088;332.29;2.317
Model_81;0.41;0.62;1.68;0.52;1.18;0.92;1.63;0.59;0.64;1;1;2;1;2;1;1;1;2;;125.674;126.622;306.498;56.948;223.295;32.388;151.762;21.645;382.424;2.496
Model_82;0.49;0.60;1.57;0.65;1.13;0.98;1.66;0.46;0.64;2;1;2;2;2;2;2;1;2;;108.158;127.151;329.717;61.773;234.3;28.124;153.195;24.764;389.76;2.315
Model_83;0.44;0.64;1.67;0.61;1.10;1.00;1.69;0.48;0.76;2;1;2;2;2;1;2;1;2;;117.987;131.895;305.27;52.318;255.576;29.813;153.092;24.665;328.067;2.36
Model_84;0.56;0.65;1.49;0.68;1.06;0.81;1.73;0.53;0.71;1;1;2;2;2;1;2;2;1;;94.214;135.794;350.57;58.255;262.16;30.984;155.763;23.261;361.877;2.256
Model_85;0.54;0.66;1.47;0.65;1.09;0.88;1.86;0.55;0.76;1;2;1;1;1;2;2;2;2;;98.205;131.556;349.466;53.452;247.624;31.27;145.218;22.719;328.928;2.259
Model_86;0.51;0.62;1.59;0.51;1.14;0.98;1.68;0.47;0.67;2;1;1;2;1;1;1;1;1;;104.639;128.312;320.782;55.801;232.398;31.429;150.947;23.907;368.3;2.343
Model_87;0.49;0.60;1.48;0.54;1.12;0.91;1.87;0.55;0.74;1;2;2;1;1;2;1;1;2;;106.336;124.797;336.926;51.623;228.885;32.628;137.007;21.955;323.09;2.238
Model_88;0.41;0.60;1.49;0.62;1.20;0.93;1.69;0.58;0.74;2;1;1;2;1;2;2;1;1;;125.984;130.078;340.275;54.592;208.692;30.834;149.504;22.494;336.353;2.386
Model_89;0.56;0.55;1.54;0.53;1.01;0.93;1.84;0.44;0.75;1;2;1;2;2;2;2;1;1;;89.467;126.337;314.609;51.618;264.946;31.692;138.94;23.975;311.659;2.07
Model_90;0.45;0.62;1.72;0.51;1.18;0.89;1.76;0.47;0.70;1;2;1;2;2;1;1;1;2;;117.256;121.618;292.534;52.923;226.084;33.507;142.019;24.072;339.374;2.396
Model_91;0.46;0.57;1.61;0.70;1.18;0.83;1.88;0.57;0.75;1;1;2;1;1;1;1;2;1;;114.433;118.904;314.043;55.408;220.701;30.207;133.871;22.623;312.011;2.273
Model_92;0.58;0.58;1.59;0.52;0.99;0.89;1.64;0.43;0.60;1;1;2;1;1;1;2;2;2;;88.579;128.718;316.213;60.843;280.054;31.447;154.839;24.139;408.501;2.206
Model_93;0.49;0.63;1.63;0.69;1.08;0.80;1.77;0.52;0.73;1;2;1;1;1;2;2;1;2;;106.847;130.149;313.979;55.889;259.825;30.95;149.579;23.452;339.951;2.273
Model_94;0.51;0.61;1.51;0.57;1.06;1.02;1.85;0.45;0.67;2;1;2;1;1;1;2;1;1;;104.18;122.599;334.453;57.31;252.007;29.148;140.189;24.188;358.959;2.226
Model_95;0.54;0.61;1.51;0.55;1.17;0.85;1.71;0.57;0.60;1;2;1;1;1;2;2;1;2;;99.673;124.392;343.452;62.001;215.823;32.708;145.856;21.479;412.223;2.317
Model_96;0.59;0.66;1.49;0.68;1.04;0.90;1.79;0.58;0.71;2;1;1;1;2;1;2;1;1;;90.079;134.386;350.814;58.02;270.727;30.119;152.77;21.968;360.311;2.247
Model_97;0.41;0.56;1.48;0.68;1.17;0.92;1.87;0.47;0.76;1;2;1;2;1;2;2;1;1;;128.418;122.217;334.785;54.259;211.029;29.236;134.773;24.889;309.254;2.248
Model_98;0.52;0.63;1.71;0.52;1.17;0.90;1.63;0.56;0.64;1;2;1;2;2;2;2;1;1;;103.051;128.163;303.922;58.227;231.407;33.177;153.929;21.968;383.358;2.396
Model_99;0.56;0.63;1.48;0.67;1.04;0.84;1.72;0.52;0.68;2;1;2;1;1;2;1;1;1;;93.876;135.194;351.033;59.607;265.667;30.751;155.26;23.088;376.525;2.212
Model_100;0.51;0.64;1.53;0.53;1.22;0.91;1.72;0.48;0.67;2;1;1;1;2;1;1;2;2;;106.498;126.382;337.831;55.574;207.202;32.842;147.048;24.096;372.178;2.361
Model_101;0.55;0.65;1.71;0.51;1.10;0.84;1.75;0.55;0.66;1;1;1;2;2;1;2;2;1;;98.371;124.761;300.628;56.363;256.325;34.68;147.468;22.036;367.846;2.334
Model_102;0.59;0.63;1.53;0.53;1.04;1.01;1.63;0.45;0.67;2;1;2;2;2;2;1;1;2;;88.82;137.329;335.624;56.331;267.044;30.375;160.062;24.098;383.574;2.238
Model_103;0.47;0.54;1.67;0.56;1.04;0.86;1.86;0.51;0.67;1;2;2;1;1;1;2;2;1;;108.481;117.402;291.631;57.188;258.901;31.856;132.968;22.412;337.551;2.2
Model_104;0.53;0.63;1.51;0.50;1.04;0.79;1.74;0.46;0.60;2;1;2;2;1;2;2;2;1;;101.638;126.01;338.423;60.069;259.304;34.853;146.604;23.488;409.74;2.283
Model_105;0.50;0.66;1.64;0.59;1.16;1.01;1.82;0.52;0.64;1;1;2;2;2;1;2;1;1;;109.797;119.646;319.877;60.229;233.877;29.268;140.671;23.231;379.531;2.361
Model_106;0.60;0.61;1.70;0.60;1.05;0.96;1.74;0.59;0.71;1;2;1;1;1;1;1;2;1;;86.537;130.133;300.082;56.236;274.181;30.564;150.534;21.365;345.262;2.213
Model_107;0.42;0.64;1.52;0.54;1.16;0.92;1.84;0.58;0.71;2;2;1;1;2;1;2;1;1;;124.78;124.68;334.113;53.258;222.447;32.654;140.592;21.829;340.745;2.382
Model_108;0.57;0.61;1.54;0.63;1.07;0.85;1.82;0.49;0.76;1;1;2;2;1;1;2;2;1;;91.311;128.343;328.908;53.96;255.34;31.383;144.821;23.849;320.781;2.168
Model_109;0.47;0.65;1.64;0.55;1.15;0.99;1.65;0.42;0.65;1;1;2;2;2;2;2;2;2;;113.799;129.19;316.89;57.432;235.098;30.425;154.543;25.629;384.6;2.405
Model_110;0.43;0.58;1.58;0.52;1.15;1.00;1.64;0.46;0.69;2;2;1;2;1;2;1;2;1;;119.834;128.952;315.969;54.589;223.411;30.666;151.106;24.51;353.567;2.367
Model_111;0.53;0.53;1.60;0.55;1.11;1.00;1.66;0.46;0.73;2;1;1;2;1;1;2;2;1;;96.016;126.173;306.895;53.712;235.212;29.993;147.756;24.373;327.602;2.184
Model_112;0.42;0.59;1.63;0.65;1.18;1.00;1.87;0.58;0.65;2;1;1;1;1;2;1;2;2;;126.19;114.275;312.166;60.52;218.779;28.13;132.328;22.183;361.374;2.365
Model_113;0.57;0.63;1.67;0.70;1.05;1.00;1.65;0.43;0.72;1;2;2;2;2;2;2;1;1;;91.578;136.546;311.374;57.738;277.782;28.02;160.64;25.532;353.299;2.224
Model_114;0.56;0.62;1.63;0.69;1.12;0.80;1.79;0.51;0.76;1;2;2;2;1;1;1;1;2;;94.149;128.424;315.264;54.971;247.939;30.743;145.676;23.668;324.18;2.221
Model_115;0.50;0.57;1.60;0.57;1.04;0.91;1.80;0.47;0.67;2;1;2;1;2;2;1;2;1;;103.539;121.858;310.474;57.493;260.638;31.153;140.51;23.729;352.064;2.216
Model_116;0.45;0.63;1.55;0.64;1.10;0.84;1.64;0.60;0.70;1;1;1;2;1;1;1;2;1;;114.598;136.835;333.297;57.658;247.704;31.487;158.479;21.965;366.079;2.377
Model_117;0.42;0.64;1.57;0.56;1.17;0.86;1.77;0.60;0.66;1;2;2;2;1;1;2;2;2;;124.56;124.973;328.346;57.344;222.801;32.947;144.448;21.558;371.802;2.427
Model_118;0.47;0.66;1.65;0.62;1.09;0.99;1.72;0.57;0.62;2;1;1;1;2;2;1;2;1;;114.553;127.786;318.79;61.861;258.161;28.831;150.191;22.38;402.5;2.384
Model_119;0.54;0.54;1.63;0.59;1.00;0.83;1.74;0.46;0.62;2;2;1;1;2;1;2;2;1;;94.26;121.718;302.621;62.093;273.577;31.034;143.09;23.57;377.739;2.147
Model_120;0.55;0.59;1.63;0.58;1.16;0.88;1.75;0.49;0.61;2;2;1;2;2;1;2;1;2;;98.015;117.858;314.469;62.7;224.481;31.026;140.506;23.305;391.264;2.276
Model_121;0.52;0.61;1.67;0.55;1.04;0.93;1.67;0.40;0.66;1;1;2;1;1;1;1;2;2;;100.491;129.257;302.631;56.696;270.346;31.105;153.767;25.509;372.407;2.279
Model_122;0.60;0.60;1.57;0.54;1.22;0.85;1.69;0.55;0.62;1;2;1;2;1;2;2;2;1;;90.125;123.201;331.42;61.541;206.429;33.337;146.806;22.122;394.504;2.302
Model_123;0.55;0.62;1.56;0.62;1.14;1.02;1.69;0.52;0.74;1;1;1;2;2;2;1;1;1;;95.72;132.063;329.621;55.086;236.458;29.599;152.108;23.491;340.239;2.275
Model_124;0.40;0.53;1.67;0.54;1.00;0.99;1.63;0.41;0.75;1;2;2;1;2;1;1;1;2;;120.949;131.529;287.215;50.077;272.592;29.673;150.483;25.447;318.621;2.222
Model_125;0.41;0.56;1.59;0.55;1.04;0.90;1.67;0.53;0.70;1;2;2;2;2;1;2;1;2;;120.638;130.054;309.015;54.481;257.755;31.462;150.965;22.362;345.971;2.3
Model_126;0.44;0.55;1.48;0.51;1.12;0.91;1.78;0.43;0.75;2;2;1;1;1;1;1;1;1;;116.029;125.55;326.634;50.016;221.452;32.302;138.735;24.783;313.873;2.224
Model_127;0.51;0.58;1.67;0.67;1.15;0.82;1.84;0.46;0.64;2;1;1;1;2;1;2;1;1;;105.752;113.384;304.95;62.172;230.371;30.367;134.455;24.555;364.002;2.263
Model_128;0.45;0.63;1.58;0.50;1.07;1.02;1.78;0.56;0.68;2;1;2;1;2;1;1;1;1;;116.167;126.513;319.87;54.024;254.497;30.884;145.165;21.763;357.081;2.353
Model_129;0.45;0.58;1.56;0.57;1.18;0.96;1.80;0.49;0.68;2;1;2;1;2;2;1;1;1;;117.458;118.9;322.882;56.718;213.828;30.689;137.806;23.772;347.69;2.326
Model_130;0.57;0.58;1.72;0.57;1.18;0.79;1.77;0.57;0.70;1;1;2;1;1;1;1;1;2;;92.924;118.982;295.056;55.747;226.828;33.768;140.203;21.702;337.226;2.28
Model_131;0.46;0.61;1.69;0.66;1.11;1.02;1.84;0.57;0.59;2;1;2;1;2;1;2;1;1;;117.296;112.56;306.736;65.322;245.929;26.343;133.224;22.094;397.463;2.342
Model_132;0.43;0.61;1.71;0.53;1.11;0.80;1.64;0.53;0.59;2;1;1;1;2;2;2;1;2;;121.615;123.081;298.552;60.797;242.693;33.933;149.674;22.419;406.611;2.439
Model_133;0.45;0.66;1.56;0.52;1.16;0.85;1.79;0.44;0.66;1;1;2;2;2;1;1;2;2;;119.12;123.644;329.693;55.468;225.723;34.001;142.673;24.878;371.685;2.397
Model_134;0.58;0.61;1.66;0.65;1.03;0.82;1.63;0.45;0.66;2;1;2;2;1;1;2;2;2;;89.75;133.336;310.777;60.573;279.062;30.813;160.597;24.682;382.346;2.227
Model_135;0.59;0.57;1.72;0.69;1.19;0.95;1.75;0.46;0.77;1;2;2;2;2;1;2;2;1;;89.248;122.553;296.84;54.819;228.401;29.097;142.996;25.261;309.505;2.204
Model_136;0.43;0.65;1.72;0.60;1.07;1.02;1.79;0.49;0.70;1;1;2;2;1;1;1;1;2;;121.521;125.975;296.5;55.567;266.897;29.227;146.566;24.048;347.803;2.372
