;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_31;0.38;0.64;1.28;0.58;1.12;1.03;1.84;0.47;0.66;2;1;1;2;1;1;1;2;2;;135.652;128.794;396.048;57.484;212.351;28.578;141.695;24.499;379.195;2.342
Model_32;0.47;0.69;1.58;0.49;1.30;0.71;1.69;0.60;0.61;1;1;2;1;2;2;2;2;1;;116.549;126.29;339.827;57.76;191.012;38.453;147.395;21.701;410.334;2.533
Model_33;0.58;0.70;1.56;0.69;1.27;0.93;1.94;0.36;0.70;1;2;1;1;1;1;2;2;1;;99.117;119.006;342.83;58.181;205.161;29.964;136.106;27.075;351.378;2.377
Model_34;0.50;0.50;1.23;0.62;1.13;0.86;1.67;0.62;0.80;2;1;1;2;1;2;2;2;2;;98.4;136.931;383.221;50.885;196.871;30.546;143.135;20.532;332.065;2
Model_35;0.36;0.58;1.33;0.75;0.98;0.79;1.90;0.38;0.73;1;1;1;2;2;1;2;2;2;;137.239;129.356;368.653;55.939;258.737;28.091;139.88;27.249;331.426;2.172
Model_36;0.66;0.58;1.39;0.75;1.12;0.89;1.70;0.36;0.69;2;1;1;1;1;1;1;1;1;;78.598;132.486;371.42;60.738;228.107;27.924;153.296;27.298;371.082;2.093
Model_37;0.64;0.52;1.28;0.54;1.10;0.94;1.81;0.38;0.79;1;1;2;1;2;2;2;2;1;;77.392;129.307;373.348;49.362;211.772;31.276;136.584;26.122;314.096;1.938
Model_38;0.49;0.68;1.54;0.64;1.13;1.04;1.89;0.51;0.67;2;2;2;2;2;2;2;1;2;;112.069;123.211;341.192;58.921;240.3;28.303;139.995;23.563;369.792;2.364
Model_39;0.52;0.60;1.33;0.60;1.15;0.86;1.68;0.56;0.55;1;2;2;2;2;1;2;2;1;;103.387;127.653;396;68.692;206.899;29.816;147.003;21.927;460.372;2.279
Model_40;0.51;0.53;1.61;0.64;1.15;1.06;1.90;0.49;0.76;2;2;2;1;2;1;1;2;1;;102.201;117.991;306.954;53.581;224.777;27.855;129.51;23.936;299.7;2.141
Model_41;0.65;0.63;1.56;0.53;1.18;0.71;1.93;0.61;0.69;1;1;2;1;2;1;1;2;1;;84.188;117.093;330.989;55.587;222.403;36.222;132.166;20.705;344.262;2.235
Model_42;0.40;0.69;1.49;0.52;1.05;0.94;1.66;0.47;0.60;1;2;1;1;1;2;1;1;1;;130.127;139.033;350.488;58.651;259.824;31.376;156.807;23.871;430.414;2.489
Model_43;0.41;0.69;1.25;0.46;1.01;0.98;1.97;0.50;0.56;1;2;2;1;2;1;2;1;2;;130.78;120.49;411.405;58.834;247.738;30.291;128.027;22.243;442.593;2.382
Model_44;0.40;0.59;1.42;0.47;0.96;1.03;1.75;0.49;0.78;2;1;1;1;2;2;2;1;1;;121.032;136.44;337.576;50.394;273.377;30.941;148.599;23.044;324.539;2.204
Model_45;0.46;0.66;1.51;0.47;1.23;0.81;1.70;0.61;0.69;1;1;1;2;2;1;1;1;2;;115.078;130.523;341.532;52.302;204.215;36.519;149.065;21.154;365.121;2.445
Model_46;0.61;0.64;1.36;0.59;0.94;0.94;1.87;0.60;0.81;2;1;1;1;2;1;1;1;1;;81.831;139.646;366.591;49.584;288.758;30.996;147.086;20.875;338.038;2.077
Model_47;0.63;0.70;1.57;0.65;1.12;1.04;1.63;0.38;0.71;2;1;1;1;1;1;2;2;2;;86.791;141.876;340.182;56.518;254.019;28.695;163.882;26.54;375.445;2.378
Model_48;0.54;0.67;1.41;0.69;1.26;0.87;1.80;0.55;0.72;1;1;1;1;1;2;2;2;2;;101.808;129.633;375.268;57.224;195.992;30.983;146.654;23.373;356.129;2.342
Model_49;0.37;0.63;1.28;0.51;0.97;0.84;1.81;0.51;0.73;2;1;2;1;2;2;2;1;1;;131.606;137.168;382.852;50.261;260.319;33.788;148.289;22.673;339.373;2.262
Model_50;0.36;0.63;1.49;0.50;0.95;0.93;1.81;0.53;0.68;2;1;1;1;2;2;2;1;1;;136.222;131.143;330.299;53.135;288.555;32.358;147.296;22.16;358.361;2.345
Model_51;0.41;0.59;1.41;0.66;0.91;0.73;1.70;0.42;0.63;2;1;1;1;1;2;1;2;1;;121.208;136.978;352.976;61.525;300.238;30.763;156.571;25.185;400.827;2.212
Model_52;0.59;0.53;1.28;0.44;1.02;0.97;1.76;0.62;0.66;1;2;2;2;1;2;1;1;2;;84.126;131.343;378.709;55.201;236.615;32.09;142.708;19.049;368.043;2.06
Model_53;0.49;0.66;1.47;0.58;1.12;0.84;1.97;0.41;0.58;2;2;1;2;1;1;1;2;1;;114.637;112.419;353.075;63.666;229.873;31.53;124.389;25.141;413.633;2.297
Model_54;0.37;0.50;1.24;0.44;0.93;1.01;1.81;0.58;0.59;1;2;2;1;2;2;1;2;2;;128.081;126.228;377.574;58.933;253.625;29.204;133.065;19.391;394.869;2.134
Model_55;0.40;0.69;1.60;0.52;1.22;0.93;1.60;0.42;0.73;1;2;2;1;2;2;1;1;2;;129.295;138.513;325.032;50.154;217.167;33.404;157.093;26.011;352.944;2.548
Model_56;0.59;0.63;1.41;0.64;1.00;1.05;1.61;0.62;0.62;1;2;1;2;1;1;1;2;2;;87.485;145.379;372.592;63.815;276.514;26.675;166.29;20.83;431.778;2.21
Model_57;0.36;0.58;1.22;0.72;1.18;1.09;1.83;0.51;0.57;1;2;1;1;2;2;2;1;1;;144.387;121.681;422.532;67.347;185.415;23.037;134.783;23.899;434.697;2.309
Model_58;0.56;0.61;1.25;0.49;0.99;0.95;1.74;0.47;0.58;1;1;2;1;2;2;2;1;1;;94.149;131.975;406.112;61.366;253.36;30.609;147.931;22.779;435.995;2.168
Model_59;0.63;0.53;1.30;0.73;1.29;0.88;1.68;0.52;0.56;2;1;1;2;1;1;1;2;1;;85.075;121.601;405.364;72.045;168.47;26.666;143.954;23.427;448.564;2.129
Model_60;0.47;0.54;1.59;0.72;1.05;0.97;1.70;0.41;0.79;1;1;2;1;1;1;2;2;2;;106.327;130.394;310.238;52.268;257.62;27.323;147.537;26.673;313.65;2.139
Model_61;0.38;0.59;1.54;0.70;1.10;0.81;1.73;0.57;0.67;1;1;2;2;1;2;1;1;1;;133.389;127.283;331.681;60.459;240.132;30.027;148.217;22.6;367.196;2.385
Model_62;0.65;0.51;1.35;0.65;0.97;0.81;1.94;0.62;0.56;1;2;2;2;1;2;1;1;2;;76.43;115.715;369.379;70.519;263.469;29.098;122.284;19.39;417.998;1.957
Model_63;0.45;0.60;1.45;0.60;1.09;1.06;1.67;0.50;0.70;2;2;1;2;2;2;1;1;1;;114.196;135.297;348.486;56.497;238.264;28.215;154.141;23.639;360.866;2.294
Model_64;0.47;0.55;1.36;0.59;1.16;0.79;1.86;0.44;0.79;2;1;1;2;1;2;2;2;2;;109.827;124.715;355.027;50.245;201.871;32.142;133.532;25.095;307.252;2.13
Model_65;0.62;0.60;1.32;0.66;1.04;1.00;1.77;0.65;0.67;1;1;1;2;1;1;2;1;2;;82.772;134.515;389.36;61.257;248.304;28.07;151.112;19.995;383.166;2.109
Model_66;0.36;0.67;1.41;0.45;1.10;0.76;1.61;0.42;0.75;2;2;2;2;2;2;2;2;1;;136.421;144.125;354.92;55.062;233.693;36.848;158.805;25.414;344.592;2.457
Model_67;0.42;0.49;1.32;0.63;1.01;0.85;1.75;0.53;0.69;2;2;2;1;1;1;1;1;2;;115.816;130.989;362.345;57.121;238.873;29.683;141.649;21.892;347.525;2.057
Model_68;0.44;0.51;1.23;0.61;1.09;0.81;1.65;0.61;0.61;1;1;2;2;1;1;2;1;2;;113.432;131.426;400.525;64.198;206.953;30.603;150.175;20.195;408.892;2.167
Model_69;0.41;0.59;1.33;0.58;1.20;0.84;1.72;0.54;0.70;2;2;1;2;2;2;1;1;2;;125.275;131.43;376.069;55.581;192.578;32.518;146.376;22.718;357.494;2.324
Model_70;0.45;0.49;1.32;0.70;1.22;0.85;1.70;0.36;0.76;2;1;1;2;2;1;2;1;1;;118.284;126.828;364.84;54.44;180.82;28.675;140.557;28.24;316.991;2.075
