;Radius_1;Radius_2;Radius_3;Radius_4;Radius_5;Radius_6;Radius_7;Radius_8;Radius_9;Radius_10;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_1;0.040;0.009;0.026;0.027;0.012;0.012;0.012;0.027;0.027;0.013;;274.9;261.9;318.4;206.1;55.4;149.1;229.1;286.6;284.1;179.5
Model_2;0.039;0.008;0.024;0.020;0.012;0.011;0.009;0.030;0.025;0.013;;281.5;359.1;346.7;363.9;108.8;187;223.3;252.2;319.1;189.6
Model_3;0.035;0.009;0.027;0.020;0.010;0.010;0.009;0.024;0.024;0.011;;345.4;280.3;320.5;362.9;70.7;223.7;359.1;365.8;348.1;267.9
Model_4;0.039;0.011;0.029;0.019;0.012;0.012;0.011;0.024;0.023;0.009;;293.6;204.3;288.7;408.5;81.3;175.3;312.5;351.6;377.6;401
Model_5;0.040;0.012;0.028;0.026;0.011;0.010;0.010;0.024;0.029;0.011;;294.6;129.3;299.8;229.9;80.8;181.8;308.2;359.9;263.9;221
Model_6;0.042;0.012;0.024;0.022;0.010;0.010;0.009;0.026;0.031;0.009;;273.8;103;354.2;317.3;43.8;146.1;246.8;327.7;223.2;254.9
Model_7;0.038;0.011;0.029;0.026;0.011;0.012;0.009;0.028;0.027;0.013;;296.7;190.7;275;215.8;88.8;157.7;287.9;277.9;277.4;193.9
Model_8;0.035;0.009;0.029;0.021;0.009;0.010;0.008;0.026;0.026;0.009;;342.3;207.1;279.5;343.8;54.6;166.9;336;323.9;309.1;288.3
Model_9;0.038;0.011;0.025;0.025;0.008;0.012;0.009;0.026;0.023;0.012;;302.5;217.5;349.1;226.6;137.1;182.1;316.8;319.8;372.3;250.2
Model_10;0.042;0.013;0.028;0.026;0.009;0.012;0.012;0.030;0.025;0.009;;249.1;125.7;268.1;233.4;41.1;152.2;198.7;240.7;335.4;320
Model_11;0.035;0.008;0.025;0.025;0.009;0.010;0.013;0.029;0.028;0.010;;322.4;245.4;325.2;254.8;98.3;160.1;191;251.1;273.9;218.9
Model_12;0.042;0.011;0.024;0.026;0.010;0.009;0.010;0.030;0.024;0.009;;255.2;148.3;336;230.4;69.2;218.4;193.7;251.4;365.6;287.3
