;Radius_1;Radius_2;Radius_3;Radius_4;Radius_5;Radius_6;Radius_7;Radius_8;Radius_9;Radius_10;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_13;0.039;0.010;0.026;0.021;0.010;0.009;0.009;0.030;0.024;0.009;;281.1;188;303.2;347.9;79.7;228.5;233.1;251.2;358.7;305.5
Model_14;0.042;0.008;0.030;0.027;0.010;0.008;0.012;0.029;0.024;0.012;;251.4;288.6;245.2;220.6;62.8;291.7;216.3;253.1;368.6;182.3
Model_15;0.035;0.009;0.029;0.023;0.010;0.011;0.008;0.026;0.030;0.012;;344.3;218.9;283.7;282.8;65.4;147.9;338.2;320.7;237.6;183.6
Model_16;0.037;0.009;0.029;0.024;0.009;0.009;0.009;0.031;0.028;0.010;;299.9;186.5;258.2;268.2;44.6;185.1;238.7;233;270.6;210.4
Model_17;0.037;0.012;0.027;0.022;0.012;0.011;0.009;0.027;0.025;0.009;;311.4;140.6;301;310.2;67.6;169.3;285.1;300.1;330;327.5
Model_18;0.040;0.010;0.030;0.024;0.010;0.012;0.011;0.030;0.031;0.010;;267.8;162.4;247;268.9;55.3;113.5;215.3;241.2;220;223.6
Model_19;0.040;0.009;0.025;0.019;0.010;0.009;0.010;0.028;0.026;0.012;;275;266.7;333.6;404;81.5;260.1;241.1;280.7;295.4;212.1
Model_20;0.035;0.010;0.032;0.024;0.008;0.010;0.011;0.025;0.023;0.012;;330.8;258.8;254.3;253.9;69.7;261.6;324.7;320.7;380.2;253.8
Model_21;0.036;0.009;0.028;0.026;0.008;0.008;0.011;0.028;0.030;0.013;;316.5;201.6;279.4;232.1;81.1;252.7;238;270;238.1;143.4
Model_22;0.037;0.012;0.027;0.022;0.011;0.008;0.008;0.031;0.029;0.010;;302.5;109.6;286.1;313.2;71.7;239.5;238.6;238.1;248.4;219.4
Model_23;0.039;0.008;0.029;0.022;0.009;0.009;0.009;0.026;0.024;0.012;;293.2;319.3;278;305.4;71.2;248.9;312.9;319.8;355.2;205.1
Model_24;0.040;0.012;0.028;0.020;0.009;0.008;0.009;0.025;0.030;0.010;;291.7;116.3;291.7;377.5;54.3;253.6;304.1;344.9;237.5;241.7
Model_25;0.040;0.010;0.027;0.021;0.010;0.010;0.010;0.024;0.026;0.013;;290.9;242.6;318.1;326.6;64;239.1;320.1;360.8;298.4;210.8
Model_26;0.035;0.009;0.028;0.024;0.009;0.012;0.011;0.030;0.028;0.012;;320.9;247.4;280;260.2;32;139.9;237.8;237.6;262;195.4
Model_27;0.035;0.009;0.025;0.025;0.010;0.010;0.011;0.026;0.024;0.010;;333.4;242.7;340.1;244.4;70.4;200.9;264.9;309.7;363.6;270.7
Model_28;0.042;0.009;0.026;0.019;0.009;0.010;0.011;0.025;0.030;0.010;;270.6;218.9;321.4;415.9;78.9;175.9;251.9;337.2;230.1;254
Model_29;0.040;0.010;0.028;0.020;0.011;0.010;0.011;0.030;0.024;0.013;;264.6;270.6;281;359.4;90.3;265.8;234.7;240.3;336.3;220.9
Model_30;0.042;0.011;0.030;0.025;0.010;0.008;0.010;0.029;0.025;0.011;;255.6;157.8;249.7;245.4;52.9;293.9;243.3;260.6;334.7;221.2
Model_31;0.037;0.012;0.027;0.026;0.011;0.012;0.008;0.028;0.026;0.009;;312;127;295.5;226.2;75;129.9;280.8;285.5;312;289
Model_32;0.036;0.008;0.024;0.022;0.012;0.010;0.009;0.031;0.025;0.011;;313.1;298.1;342.1;313.8;83.6;190.5;217.1;235.9;327.7;216.4
Model_33;0.038;0.008;0.025;0.023;0.012;0.009;0.011;0.027;0.025;0.009;;296.9;246.8;331.9;298;72.6;197.8;232.5;294.3;341;268.9
Model_34;0.038;0.008;0.026;0.026;0.012;0.010;0.013;0.029;0.024;0.011;;285;305.8;307.8;234.2;65.6;202;202.2;249.7;363.3;223.3
Model_35;0.041;0.010;0.026;0.026;0.010;0.008;0.009;0.024;0.030;0.011;;292.4;149.3;326.7;235.2;72.9;225.6;300.3;371.5;254.2;179.7
Model_36;0.040;0.008;0.030;0.019;0.009;0.012;0.011;0.028;0.024;0.011;;269.6;365.5;259.4;408;50.4;164;258.5;270.7;344.8;266.4
Model_37;0.041;0.010;0.025;0.025;0.010;0.011;0.013;0.031;0.026;0.009;;254.9;176.9;315.1;254.6;47;150;162.2;228.2;312.8;281.4
Model_38;0.038;0.011;0.030;0.026;0.008;0.012;0.010;0.028;0.024;0.012;;291.1;209.8;264.2;213.2;86.3;178;291.2;271.7;347;240.7
Model_39;0.035;0.008;0.027;0.022;0.009;0.011;0.012;0.028;0.026;0.011;;323.1;311.3;298.8;316.6;72.2;167;235.5;266.1;305.1;229.7
Model_40;0.035;0.010;0.029;0.023;0.011;0.009;0.011;0.027;0.028;0.011;;328.8;184.7;275.9;288.6;79.7;225.6;271.1;284.5;266.6;217.3
Model_41;0.036;0.009;0.026;0.020;0.011;0.010;0.010;0.030;0.025;0.010;;311;250.2;309.3;377.8;63.8;201.7;234.8;245.2;325.3;273.1
Model_42;0.041;0.008;0.031;0.021;0.009;0.009;0.011;0.030;0.024;0.010;;257.1;295;236.4;354.9;35.9;235;225.2;241.5;360;258.5
Model_43;0.039;0.010;0.025;0.025;0.008;0.010;0.011;0.027;0.026;0.012;;286.1;211.3;336.4;237.8;40.7;209.7;240.7;292.9;303.9;207.6
Model_44;0.037;0.013;0.029;0.024;0.009;0.009;0.011;0.027;0.030;0.009;;307.6;90.5;267.7;275.6;103.6;189.5;247.4;288.8;239.9;263.5
Model_45;0.036;0.008;0.027;0.022;0.009;0.012;0.009;0.031;0.028;0.009;;312;232.6;285.9;319.4;46.1;105.8;231.7;234.4;268.7;249.5
Model_46;0.041;0.010;0.029;0.022;0.010;0.011;0.008;0.028;0.023;0.009;;271.3;204.7;266.9;310.4;101.5;172.6;288.2;286.9;388.1;331.3
Model_47;0.042;0.010;0.029;0.021;0.012;0.010;0.012;0.029;0.029;0.009;;251.7;161.9;261.3;354.1;71.2;162.5;205.2;255.1;250.1;272.4
Model_48;0.042;0.011;0.028;0.024;0.009;0.011;0.010;0.025;0.025;0.011;;271.2;187.7;293.8;257.1;54.7;187.6;297.5;337.5;328.1;261.6
Model_49;0.037;0.009;0.028;0.026;0.012;0.011;0.012;0.023;0.027;0.009;;318.6;199.6;303.9;237.8;150.3;137.8;298.8;368.7;305.2;278.8
Model_50;0.037;0.008;0.029;0.027;0.012;0.011;0.010;0.029;0.029;0.013;;303.4;267;267.1;210.8;45.9;140.1;250.8;256.5;251.8;147.6
Model_51;0.036;0.011;0.029;0.021;0.009;0.011;0.011;0.023;0.030;0.011;;332.7;177;293.5;340.6;121.9;174.4;326.6;373.9;238.9;255.1
Model_52;0.042;0.013;0.027;0.024;0.010;0.009;0.011;0.030;0.026;0.010;;251.4;115.7;285.4;267;46.8;236.4;204.6;244.8;307.7;260.9
Model_53;0.040;0.008;0.029;0.024;0.010;0.009;0.009;0.026;0.027;0.011;;286.8;253.3;273.7;268;51.2;197.3;292.8;321.1;293.7;194.8
Model_54;0.040;0.009;0.028;0.023;0.012;0.010;0.009;0.024;0.023;0.011;;294.8;276.1;300.2;278.8;80.1;224.2;339.7;368.5;385.7;262
Model_55;0.036;0.008;0.030;0.020;0.011;0.008;0.011;0.028;0.023;0.011;;311;325.5;260.3;383.3;56.3;325.5;266.1;268;385.9;240.7
Model_56;0.036;0.011;0.032;0.019;0.009;0.011;0.008;0.025;0.030;0.009;;333.9;141.9;254.5;413;47.1;138.2;361.5;345.1;236.9;300.2
Model_57;0.039;0.009;0.027;0.024;0.009;0.008;0.009;0.030;0.025;0.012;;280.9;228.3;289.1;261.9;84;282.5;244.2;249.3;331.3;182.5
Model_58;0.041;0.010;0.024;0.021;0.009;0.012;0.012;0.026;0.030;0.012;;271.2;214.2;363.6;332.1;43.7;145.7;222.9;311;223.6;212.9
Model_59;0.039;0.010;0.027;0.025;0.008;0.009;0.012;0.024;0.027;0.009;;298.2;164.7;301.6;257.7;162;206.7;252.1;353.9;301.5;285.6
Model_60;0.037;0.011;0.026;0.021;0.011;0.010;0.009;0.030;0.027;0.011;;301.8;173.4;309.3;333.3;87.3;204.9;244.4;249.2;276.7;237.2
Model_61;0.036;0.011;0.027;0.024;0.011;0.009;0.011;0.025;0.024;0.011;;322.4;186;312.6;258.4;72.5;277.3;294.3;327.7;356.6;261.1
Model_62;0.036;0.011;0.025;0.021;0.009;0.012;0.010;0.025;0.027;0.010;;327.4;174.6;347.9;335.6;44.2;146.1;294.5;338.1;279.2;290.5
Model_63;0.037;0.010;0.027;0.023;0.011;0.012;0.010;0.026;0.027;0.011;;311.9;209.2;308;281.6;48.8;145;288;313.4;281;242.5
Model_64;0.042;0.009;0.028;0.026;0.011;0.009;0.011;0.026;0.023;0.011;;264.2;258.1;284.8;226.5;59.7;261.5;262.3;310.9;394;242.2
Model_65;0.042;0.010;0.025;0.019;0.011;0.013;0.008;0.027;0.023;0.012;;267.4;288.8;338.4;380.1;163.8;169.9;294.9;307.8;358.5;275.4
Model_66;0.035;0.010;0.025;0.021;0.010;0.012;0.010;0.024;0.027;0.012;;343.2;235.9;358.3;327.6;53.3;160.1;324.3;359.3;277;236.7
Model_67;0.035;0.011;0.025;0.024;0.008;0.008;0.011;0.026;0.027;0.011;;334.8;153.3;339.5;265.9;78.7;285.6;256.3;310.6;288.3;219.4
Model_68;0.037;0.011;0.026;0.020;0.009;0.012;0.012;0.026;0.023;0.010;;302.9;221.2;326.5;366.6;45;190;260.5;303.6;372;352.2
Model_69;0.043;0.010;0.029;0.025;0.009;0.008;0.011;0.027;0.023;0.011;;252.9;208.9;266.3;246.7;43.8;325.6;250.4;291.5;392.9;242.1
Model_70;0.041;0.009;0.024;0.021;0.010;0.010;0.012;0.025;0.023;0.009;;275.1;251.8;361.8;347.9;76.1;208.6;235.7;333.8;390.3;340.1
Model_71;0.035;0.011;0.028;0.024;0.009;0.009;0.009;0.028;0.028;0.009;;333.9;124.9;281.4;270;48.8;186;274.6;278.9;272.6;257.5
Model_72;0.038;0.008;0.027;0.025;0.010;0.011;0.010;0.025;0.027;0.011;;307.1;272.9;307.7;247.2;73.1;144.4;290.9;337.3;294;208.7
Model_73;0.036;0.009;0.026;0.024;0.008;0.012;0.009;0.025;0.029;0.012;;332.6;231.3;330.2;261;44.4;130.3;316.7;341.4;253.7;192.3
Model_74;0.043;0.009;0.026;0.021;0.011;0.011;0.010;0.026;0.028;0.012;;261.3;253.1;320;333.3;63.3;167.6;260.5;318.9;258.8;205.6
Model_75;0.039;0.008;0.027;0.026;0.011;0.011;0.010;0.027;0.025;0.012;;288.5;308.4;299.4;222.3;55.4;165.5;265;295.5;333.1;195.4
Model_76;0.035;0.013;0.027;0.025;0.012;0.012;0.011;0.030;0.027;0.009;;322.2;114.7;291.7;249;52.6;137;227.2;239.3;288.4;297
Model_77;0.035;0.009;0.030;0.022;0.008;0.009;0.013;0.026;0.025;0.011;;324.4;267.3;262;322.4;137.7;270.9;249.5;294.4;331.4;251.5
Model_78;0.037;0.011;0.025;0.026;0.011;0.010;0.012;0.029;0.028;0.009;;300.2;130.2;325.2;233.1;71.9;159.9;198.4;255.4;274.3;260.2
Model_79;0.038;0.010;0.025;0.024;0.011;0.012;0.008;0.027;0.026;0.013;;304.2;232.1;339.7;249.7;119.3;157.9;293.7;306;295.5;196.3
Model_80;0.035;0.013;0.030;0.026;0.011;0.009;0.009;0.030;0.023;0.011;;325.5;139.9;256.3;221.6;89.6;287.4;284.7;243.5;383.8;264.3
Model_81;0.041;0.012;0.025;0.024;0.008;0.012;0.010;0.024;0.023;0.010;;283.7;172.8;349.5;254.5;66.4;176.2;305.8;364.9;381.9;328.7
Model_82;0.037;0.011;0.029;0.026;0.012;0.009;0.012;0.025;0.028;0.009;;310.4;127;279.3;237.8;129.6;191.9;269.6;320.4;280.7;264.7
Model_83;0.035;0.009;0.025;0.021;0.010;0.008;0.008;0.025;0.025;0.010;;347.6;216.6;344.8;340.9;71.2;268.5;331;351.1;332.6;250
Model_84;0.036;0.010;0.024;0.025;0.011;0.011;0.010;0.031;0.029;0.012;;311;188.2;345.7;238.1;65.6;153.8;205.7;232.4;244.6;181.9
Model_85;0.035;0.011;0.029;0.024;0.011;0.010;0.009;0.025;0.028;0.011;;344.1;157.9;287.4;263;58.8;187.1;338.3;337.1;272.3;227.3
Model_86;0.039;0.012;0.028;0.022;0.012;0.012;0.009;0.029;0.027;0.013;;282.9;180.7;284.3;291.1;107.9;175.9;269;263.1;267.7;214.7
Model_87;0.042;0.011;0.029;0.019;0.008;0.010;0.011;0.024;0.026;0.009;;273.2;168.6;279.8;415.9;101;204.1;285.2;357.3;303.8;348.3
Model_88;0.042;0.013;0.028;0.026;0.012;0.009;0.011;0.025;0.027;0.009;;270.8;96.3;289;234.2;97.2;203.2;265.5;332.7;299.6;278.5
Model_89;0.035;0.010;0.031;0.026;0.011;0.011;0.010;0.026;0.030;0.009;;338.2;144.1;255.5;237.3;103.1;120.2;299;306.9;247.7;248.1
Model_90;0.043;0.008;0.027;0.021;0.011;0.009;0.010;0.027;0.023;0.013;;255.5;361.3;299.1;333.6;85.3;283;261.2;297.4;378.3;195.3
Model_91;0.037;0.009;0.031;0.020;0.010;0.008;0.009;0.028;0.031;0.011;;307.4;195.1;248.3;377.3;46.2;245;282.5;278.8;216.4;189.7
Model_92;0.042;0.009;0.028;0.026;0.008;0.009;0.009;0.024;0.027;0.009;;283.4;177.2;289.8;237.1;88.1;177.9;304.1;372.5;309.2;252.5
Model_93;0.039;0.013;0.027;0.022;0.010;0.009;0.010;0.024;0.027;0.010;;301.4;115;313.3;313;74.6;236.9;308.4;362.4;290.1;275.9
Model_94;0.041;0.008;0.030;0.027;0.011;0.011;0.012;0.031;0.026;0.011;;254.1;277.2;241.5;219.2;51.6;152.4;199.4;224.6;314.2;202.3
Model_95;0.039;0.010;0.028;0.024;0.011;0.008;0.011;0.031;0.023;0.010;;273.7;197.8;268.6;275.9;48.9;305.5;212.5;227.9;393.4;266.2
Model_96;0.037;0.010;0.025;0.021;0.009;0.011;0.012;0.029;0.028;0.009;;298.5;177.1;327.3;350.7;60.9;147.3;198.8;256.9;265.6;290.3
Model_97;0.041;0.009;0.030;0.020;0.011;0.010;0.012;0.024;0.023;0.009;;275;261.1;270.8;383.4;114.1;216.1;284.6;346.3;389.3;356.3
Model_98;0.039;0.010;0.031;0.019;0.012;0.011;0.012;0.030;0.025;0.009;;271.2;213.5;241.2;425.2;54.3;177.7;221.9;236;325.2;342.4
Model_99;0.042;0.008;0.026;0.027;0.010;0.009;0.011;0.030;0.023;0.013;;251.4;326.7;301.2;210.7;72.6;260.1;208.5;244.4;388.3;175.5
Model_100;0.035;0.008;0.028;0.023;0.011;0.010;0.010;0.024;0.023;0.011;;341.5;335.5;303.4;281.7;75.9;217.2;339.6;356.7;389.1;252.4
Model_101;0.038;0.010;0.024;0.020;0.010;0.009;0.012;0.030;0.028;0.011;;284.8;197.6;349.2;376.1;38.9;237.6;186.7;243.4;262.6;224
Model_102;0.041;0.010;0.025;0.021;0.010;0.012;0.008;0.031;0.024;0.012;;261.5;254.4;324.6;321.9;161.3;174.2;242.9;239.7;343;237.2
Model_103;0.036;0.011;0.025;0.024;0.010;0.012;0.009;0.030;0.023;0.012;;312.9;224.9;332.6;246.9;137.3;188.9;264.4;246.9;368.4;251.1
Model_104;0.042;0.012;0.027;0.025;0.008;0.010;0.011;0.027;0.025;0.013;;259.2;175.2;303.7;230.7;71.5;246.8;256.8;290.1;319.7;210.6
Model_105;0.041;0.009;0.025;0.026;0.012;0.009;0.008;0.028;0.025;0.012;;274;234;326.2;221;96.5;231.1;252.1;289.5;332.6;187.5
Model_106;0.040;0.010;0.026;0.022;0.008;0.012;0.009;0.024;0.031;0.009;;299.7;151.1;324.9;320.7;73.2;102.8;301.9;372.2;233;266.7
Model_107;0.040;0.009;0.029;0.022;0.012;0.010;0.011;0.027;0.027;0.010;;276.1;220.4;270.8;316.4;71.6;178.8;251.6;290.1;287;249.3
Model_108;0.038;0.010;0.028;0.023;0.011;0.012;0.009;0.026;0.026;0.012;;303.8;229.4;294.7;275.2;85.2;157.3;312.9;318.6;299;226.8
Model_109;0.038;0.011;0.027;0.024;0.010;0.011;0.009;0.027;0.027;0.009;;301.8;140.7;298;267;45.8;142;274.4;301;290;281.7
Model_110;0.035;0.010;0.027;0.020;0.009;0.012;0.009;0.026;0.026;0.013;;336.2;258;317;348.5;111.7;174.2;337.5;316;286.8;220.7
Model_111;0.041;0.012;0.031;0.021;0.009;0.009;0.009;0.026;0.027;0.011;;276.3;143.4;255.9;334.2;65.5;247.3;312.3;319.1;281.9;243.7
Model_112;0.039;0.008;0.028;0.023;0.008;0.012;0.009;0.029;0.024;0.010;;282.9;295.9;278.3;285.3;82.4;136.3;265.6;264.3;358.2;258.6
Model_113;0.042;0.010;0.027;0.020;0.010;0.012;0.013;0.027;0.027;0.011;;254.7;232.7;301.4;369;58.8;162.2;217.2;283.5;273.9;265.2
Model_114;0.035;0.008;0.032;0.023;0.010;0.008;0.010;0.025;0.027;0.009;;339.7;221.4;247.8;301.6;124.8;221.3;315.2;331.2;300.2;249.8
Model_115;0.036;0.010;0.026;0.025;0.012;0.008;0.008;0.030;0.028;0.011;;318.7;156.6;305.1;244.3;69.5;238.2;246.5;251.7;269.6;183.3
Model_116;0.043;0.011;0.027;0.024;0.011;0.011;0.009;0.030;0.028;0.009;;249.1;133;282.6;266.7;61.1;134.2;214.6;252.6;269.6;262.1
Model_117;0.038;0.010;0.026;0.025;0.011;0.010;0.011;0.030;0.027;0.013;;286.7;212.4;308.9;237.9;58.2;209.5;216.4;241.7;279.9;177.5
Model_118;0.040;0.011;0.024;0.022;0.009;0.010;0.012;0.031;0.025;0.009;;264.4;163.8;339.9;320.7;44.2;194.1;172.4;231;330.6;308.3
Model_119;0.041;0.011;0.031;0.020;0.012;0.009;0.011;0.031;0.029;0.009;;254.9;137.1;234.4;388.1;49.9;200.9;208.4;228.9;248.1;275.1
Model_120;0.037;0.009;0.025;0.021;0.011;0.008;0.008;0.027;0.026;0.009;;315.7;188.4;331.5;345.8;66.4;235.4;276.8;308.2;311.6;263.1
Model_121;0.041;0.010;0.026;0.023;0.009;0.012;0.011;0.026;0.025;0.009;;273.1;195.5;315.3;288.8;62.5;140.6;245.8;314.6;334.2;319.3
Model_122;0.037;0.010;0.027;0.024;0.008;0.008;0.009;0.028;0.026;0.011;;308.1;176.3;296.9;262.3;57.7;269.1;272.3;281;309.5;207
Model_123;0.041;0.010;0.028;0.020;0.009;0.009;0.011;0.030;0.024;0.013;;255.9;254.8;280.4;362;91.9;306.7;234.4;240.7;339.7;210.1
Model_124;0.035;0.012;0.028;0.026;0.009;0.011;0.010;0.026;0.030;0.013;;337.1;147.8;298;221.6;43.3;170.7;301.7;307.6;235;184.3
Model_125;0.039;0.011;0.027;0.026;0.012;0.008;0.009;0.029;0.026;0.009;;285.8;122.9;286.9;231.9;51.1;232;238.6;265.9;318.7;252.5
Model_126;0.039;0.011;0.029;0.024;0.010;0.011;0.009;0.026;0.030;0.010;;296.7;137.2;276.1;267.6;52.1;135.1;295.5;319.2;242.2;235.2
Model_127;0.042;0.009;0.026;0.023;0.011;0.011;0.012;0.026;0.023;0.011;;261.6;293.3;319.8;283.4;51.2;201.5;241.9;307.3;382.2;269.8
Model_128;0.037;0.010;0.026;0.023;0.012;0.011;0.012;0.025;0.023;0.012;;306.8;270.4;333;274.7;60.1;226.7;277.2;321.9;373.9;260.7
Model_129;0.037;0.008;0.027;0.025;0.009;0.011;0.010;0.027;0.024;0.012;;307.5;329.3;302.1;237.1;56.7;177;278.9;293.6;356.6;207.6
Model_130;0.041;0.011;0.028;0.022;0.010;0.008;0.011;0.026;0.025;0.011;;271.3;171.2;287.4;310.7;59.5;319;262.3;310.9;329.4;242.6
Model_131;0.042;0.011;0.024;0.024;0.012;0.010;0.009;0.029;0.025;0.009;;260.6;149.9;340.2;266.9;77.8;181.4;210.9;270.6;334.9;291.6
Model_132;0.038;0.009;0.029;0.022;0.009;0.009;0.010;0.025;0.028;0.011;;305.9;221.3;279.8;315.7;79.3;219.1;299.9;335.8;271.2;215.6
Model_133;0.037;0.011;0.027;0.019;0.009;0.009;0.009;0.028;0.025;0.012;;305.2;201.1;304.8;392.5;115.4;289.2;294.7;279.9;313.7;237.3
Model_134;0.036;0.011;0.029;0.024;0.008;0.012;0.010;0.030;0.026;0.009;;310.8;156;262.3;268.4;30.4;135.3;246.7;242.5;309.8;299.1
Model_135;0.035;0.011;0.025;0.026;0.012;0.012;0.011;0.028;0.029;0.010;;329.2;146.5;335.1;228.1;60.5;125;233.9;271.3;251.3;238.7
Model_136;0.038;0.012;0.025;0.020;0.010;0.011;0.010;0.025;0.026;0.013;;303.7;193.2;354.1;347.1;97.6;221.5;305.8;336.8;284.5;234.7
Model_137;0.036;0.010;0.025;0.020;0.010;0.012;0.008;0.027;0.026;0.009;;326.2;189.7;336.2;370.3;87.9;132.5;293.6;306.9;302.6;312.8
Model_138;0.037;0.013;0.026;0.023;0.012;0.010;0.008;0.030;0.027;0.009;;305.8;105.4;304.1;287.5;77;173.9;243.8;253.3;286.5;283
Model_139;0.042;0.008;0.028;0.025;0.011;0.009;0.010;0.030;0.024;0.010;;253.7;267.1;267.5;253.3;54.5;214.6;218.4;247.6;367.1;235.4
Model_140;0.035;0.009;0.031;0.024;0.010;0.011;0.008;0.030;0.027;0.013;;328.7;251;249.5;253.8;97.3;164.1;300.4;247.4;278.7;173.7
Model_141;0.040;0.011;0.026;0.023;0.010;0.010;0.008;0.029;0.025;0.011;;277;175.9;309.5;275.3;119;209;263.6;270.1;323.9;241
Model_142;0.039;0.011;0.029;0.025;0.010;0.010;0.009;0.027;0.026;0.009;;291.4;139.9;269.5;247.4;43.9;171;281.6;300;315.1;282.6
Model_143;0.038;0.008;0.027;0.024;0.008;0.010;0.010;0.026;0.026;0.012;;301.7;297.4;303.7;262.3;42.8;188.9;280.2;315.4;308.2;191.7
Model_144;0.038;0.012;0.030;0.023;0.012;0.011;0.010;0.030;0.030;0.011;;288.2;134.8;253.1;282.6;50.6;158.2;243.4;242.4;228.3;221.6
Model_145;0.039;0.010;0.028;0.025;0.008;0.011;0.012;0.030;0.025;0.009;;274.7;186.6;268.3;256.2;59;160.7;201.8;239.6;338.6;300.1
Model_146;0.038;0.009;0.030;0.020;0.012;0.011;0.011;0.027;0.027;0.013;;291.9;293.6;266.6;359.6;49.9;195.2;276;285.5;271.5;202.3
Model_147;0.039;0.012;0.029;0.024;0.011;0.008;0.010;0.026;0.023;0.012;;289.9;166.2;278.6;254.9;67.5;366.1;299.3;312.7;383.1;236.1
Model_148;0.038;0.012;0.028;0.025;0.011;0.012;0.009;0.024;0.023;0.009;;312.8;155.2;299.9;241.2;63;160.8;344.3;367.9;392.7;356
Model_149;0.036;0.012;0.027;0.025;0.012;0.011;0.011;0.026;0.023;0.013;;317.1;207.6;314.3;225.2;77.4;246.9;294.2;303.6;367.6;245.2
Model_150;0.038;0.012;0.028;0.021;0.010;0.011;0.013;0.031;0.028;0.012;;277;171.7;278.6;333.9;33.1;200.2;200;220;252.4;231.5
Model_151;0.038;0.008;0.026;0.019;0.010;0.011;0.013;0.026;0.030;0.010;;293.3;277.2;321.6;422;110.1;145.7;220.6;303.7;229.3;251.1
Model_152;0.039;0.009;0.029;0.020;0.011;0.009;0.011;0.030;0.026;0.011;;274.7;249.2;263.3;378.4;43.6;246.3;226.3;241.2;301;231.1
Model_153;0.040;0.012;0.030;0.021;0.012;0.011;0.008;0.027;0.029;0.011;;284.7;143.1;263.5;331.4;91.2;165;305.9;304;243.9;240.8
Model_154;0.040;0.010;0.025;0.019;0.012;0.010;0.009;0.027;0.029;0.009;;283;166.5;332.5;415.8;60;164.6;250.7;305.6;245.7;283.7
Model_155;0.041;0.012;0.029;0.025;0.011;0.008;0.011;0.025;0.025;0.010;;276.2;129.9;276.5;247;90.7;292;277.7;331.1;340;264
Model_156;0.039;0.010;0.024;0.026;0.012;0.012;0.009;0.025;0.027;0.011;;302.4;193.4;365.8;224.3;69.3;134.8;285.5;347.2;290.1;224.8
Model_157;0.038;0.008;0.028;0.026;0.009;0.011;0.008;0.031;0.030;0.011;;292;219.3;271.5;227.2;65.3;114.8;240.4;236.9;236.3;165.7
Model_158;0.036;0.009;0.030;0.019;0.010;0.009;0.009;0.029;0.028;0.009;;315.3;198.4;255.5;421.4;39.5;196.2;271.2;262.9;265.1;275.2
Model_159;0.041;0.010;0.027;0.022;0.012;0.011;0.012;0.027;0.029;0.011;;266.2;195.9;300.6;310.8;66.2;160.8;227.4;287.4;244.7;227.7
Model_160;0.035;0.011;0.028;0.023;0.008;0.008;0.011;0.029;0.029;0.012;;324.1;152.7;280.5;287;56;281.9;239.5;253.1;247.3;184.1
Model_161;0.040;0.011;0.028;0.024;0.011;0.010;0.012;0.028;0.028;0.010;;271.2;149.4;278.9;268.3;73.2;181.6;220;269.3;268.9;248.6
Model_162;0.041;0.010;0.026;0.023;0.009;0.012;0.009;0.026;0.029;0.011;;279.2;186;320.3;282.8;65.1;126.3;279.8;323.2;250;219.6
Model_163;0.037;0.009;0.030;0.024;0.009;0.010;0.012;0.030;0.031;0.011;;295.4;201.2;247.7;271.8;82.7;162.5;210.7;235.5;220.9;190.8
